course,gender,event,distance,age_group,is_relay,name_team_raw,record,established_date,athlete_name,team_name
短水路,女,自由形,25m,18,0,青木　美栄 東青梅,12.85,2017/5/3,青木美栄,東青梅
短水路,女,自由形,25m,25,0,高嶋　ひなの 芦屋,12.99,2024/6/30,高嶋ひなの,芦屋
短水路,女,自由形,25m,30,0,大野 祐紀 岐阜,13.18,2000/2/20,大野祐紀,岐阜
短水路,女,自由形,800m,18,0,麻生 圭子 西東京,12:02.70,1990/5/1,麻生圭子,西東京
短水路,女,自由形,800m,25,0,山崎　優 清瀬,10:15.12,2011/6/12,山崎優,清瀬
短水路,女,自由形,800m,30,0,網谷　明日香 みなと,10:10.91,2013/5/12,網谷明日香,みなと
短水路,女,自由形,25m,35,0,砂押　裕美 大宮宮原,13.06,2015/7/4,砂押裕美,大宮宮原
短水路,女,自由形,800m,35,0,岡本　奈美 F東戸塚,10:43.19,2007/11/18,岡本奈美,F東戸塚
短水路,女,自由形,800m,40,0,西井 良子 東青梅,11:27.01,2005/5/7,西井良子,東青梅
短水路,女,自由形,25m,45,0,石賀　幸子 八王子,13.64,2023/5/14,石賀幸子,八王子
短水路,女,自由形,800m,45,0,篠原　理恵 南宇都宮,11:17.23,2016/10/9,篠原理恵,南宇都宮
短水路,女,自由形,25m,50,0,西井　良子 東青梅,14.02,2015/3/14,西井良子,東青梅
短水路,女,自由形,800m,50,0,篠原　理恵 南宇都宮,11:28.92,2019/10/19,篠原理恵,南宇都宮
短水路,女,自由形,25m,55,0,西井　良子 東青梅,14.36,2018/5/5,西井良子,東青梅
短水路,女,自由形,800m,55,0,篠　直子 前橋,10:38.62,2016/11/20,篠直子,前橋
短水路,女,自由形,25m,60,0,五十嵐美津代 前橋,14.50,2019/5/11,五十嵐美津代,前橋
短水路,女,自由形,800m,60,0,岡田　眞弓 清瀬,13:19.87,2024/5/18,岡田眞弓,清瀬
短水路,女,自由形,25m,65,0,後藤　久美子 戸塚,15.74,2010/5/16,後藤久美子,戸塚
短水路,女,自由形,800m,65,0,後藤　久美子 戸塚,13:03.50,2009/5/10,後藤久美子,戸塚
短水路,女,自由形,25m,70,0,佐藤　成子 西新井,16.95,2016/7/2,佐藤成子,西新井
短水路,女,自由形,800m,70,0,中平　信子 成瀬,13:19.54,2024/5/18,中平信子,成瀬
短水路,女,自由形,25m,75,0,甲把　昌子 長沼,17.96,2016/7/2,甲把昌子,長沼
短水路,女,自由形,800m,75,0,後藤　久美子 戸塚,15:40.92,2019/5/12,後藤久美子,戸塚
短水路,女,自由形,25m,80,0,甲把　昌子 長沼,18.60,2023/5/14,甲把昌子,長沼
短水路,女,自由形,800m,80,0,田之上　ノブ S千葉,19:22.63,2017/11/17,田之上ノブ,S千葉
短水路,女,自由形,25m,85,0,廣岡　夫佐子 泉佐野市,20.13,2023/7/2,廣岡夫佐子,泉佐野市
短水路,女,自由形,25m,90,0,大橋　サト 成城,28.59,2017/7/1,大橋サト,成城
短水路,女,自由形,50m,18,0,青木　美栄 東青梅,27.55,2017/7/1,青木美栄,東青梅
短水路,女,自由形,50m,25,0,名須川紗綾 Ｓ湘南台,27.09,2019/5/11,名須川紗綾,Ｓ湘南台
短水路,女,自由形,50m,30,0,岡田　明日香 前橋,28.59,2015/5/3,岡田明日香,前橋
短水路,女,自由形,1500m,18,0,中嶋　梓 西東京,21:32.32,2011/12/23,中嶋梓,西東京
短水路,女,自由形,1500m,25,0,水野 久子 F東戸塚,23:37.55,1998/10/11,水野久子,F東戸塚
短水路,女,自由形,1500m,30,0,水野 久子 F東戸塚,24:57.12,2000/10/22,水野久子,F東戸塚
短水路,女,自由形,50m,35,0,綿貫　麻衣子 横浜北,28.32,2009/7/4,綿貫麻衣子,横浜北
短水路,女,自由形,1500m,35,0,小林　有紀 横浜北,24:03.27,2008/6/15,小林有紀,横浜北
短水路,女,自由形,50m,40,0,岡本　奈美 二俣川,29.20,2013/7/6,岡本奈美,二俣川
短水路,女,自由形,1500m,40,0,田中　貴子 清瀬,22:13.84,2009/10/25,田中貴子,清瀬
短水路,女,自由形,50m,45,0,舘野　美香 目黒,28.98,2019/5/11,舘野美香,目黒
短水路,女,自由形,1500m,45,0,篠原　理恵 南宇都宮,21:01.56,2017/10/21,篠原理恵,南宇都宮
短水路,女,自由形,50m,50,0,舘野　美香 目黒,28.79,2023/5/14,舘野美香,目黒
短水路,女,自由形,1500m,50,0,大川　晴美 成城,21:57.84,2024/6/9,大川晴美,成城
短水路,女,自由形,50m,55,0,永瀬　秀子 二俣川,31.26,2016/7/2,永瀬秀子,二俣川
短水路,女,自由形,1500m,55,0,志手　直子 前橋,20:44.53,2016/5/29,志手直子,前橋
短水路,女,自由形,50m,60,0,永瀬　秀子 二俣川,31.61,2024/5/11,永瀬秀子,二俣川
短水路,女,自由形,1500m,60,0,岡田　眞弓 清瀬,25:05.64,2024/10/13,岡田眞弓,清瀬
短水路,女,自由形,50m,65,0,後藤　久美子 戸塚,34.90,2009/4/29,後藤久美子,戸塚
短水路,女,自由形,1500m,65,0,後藤　久美子 戸塚,24:43.14,2009/6/14,後藤久美子,戸塚
短水路,女,自由形,50m,70,0,佐多　信子 MSPデルタ,35.96,2019/5/26,佐多信子,MSPデルタ
短水路,女,自由形,1500m,70,0,後藤　久美子 戸塚,27:34.90,2014/6/8,後藤久美子,戸塚
短水路,女,自由形,50m,75,0,佐多　信子 MSPデルタ,37.40,2023/6/2,佐多信子,MSPデルタ
短水路,女,自由形,1500m,75,0,後藤　久美子 戸塚,28:30.98,2019/6/9,後藤久美子,戸塚
短水路,女,自由形,50m,80,0,甲把　昌子 長沼,41.02,2023/5/14,甲把昌子,長沼
短水路,女,自由形,50m,85,0,廣岡　夫佐子 泉佐野市,50.52,2024/6/30,廣岡夫佐子,泉佐野市
短水路,女,自由形,100m,18,0,青木　美栄 東青梅,1:00.76,2018/1/6,青木美栄,東青梅
短水路,女,自由形,100m,25,0,吉田　絵理菜 西東京,1:01.17,2011/2/13,吉田絵理菜,西東京
短水路,女,自由形,100m,30,0,岡田　明日香 前橋,1:02.24,2015/4/18,岡田明日香,前橋
短水路,女,背泳ぎ,25m,18,0,古内 祐子 おおわだ,14.55,1992/11/1,古内祐子,おおわだ
短水路,女,背泳ぎ,25m,25,0,森　緑 W湘南台,14.83,2014/7/5,森緑,W湘南台
短水路,女,背泳ぎ,25m,30,0,重久　聡美 湘南台,15.66,2007/4/8,重久聡美,湘南台
短水路,女,自由形,100m,35,0,綿貫　麻衣子 市ヶ尾,1:02.18,2010/2/14,綿貫麻衣子,市ヶ尾
短水路,女,背泳ぎ,25m,35,0,瀧澤　幸恵 東十条,15.91,2013/7/6,瀧澤幸恵,東十条
短水路,女,自由形,100m,40,0,岡島　八勢 太秦,1:03.56,2024/6/30,岡島八勢,太秦
短水路,女,背泳ぎ,25m,40,0,曳地　聡美 W湘南台,15.55,2017/7/1,曳地聡美,W湘南台
短水路,女,自由形,100m,45,0,西井　良子 東青梅,1:07.16,2010/4/17,西井良子,東青梅
短水路,女,背泳ぎ,25m,45,0,西井　良子 東青梅,16.41,2009/4/19,西井良子,東青梅
短水路,女,自由形,100m,50,0,舘野　美香 目黒,1:06.01,2024/7/5,舘野美香,目黒
短水路,女,背泳ぎ,25m,50,0,西井　良子 東青梅,16.50,2014/2/2,西井良子,東青梅
短水路,女,自由形,100m,55,0,西井　良子 東青梅,1:07.32,2018/5/20,西井良子,東青梅
短水路,女,背泳ぎ,25m,55,0,志手　直子 前橋,16.52,2015/11/28,志手直子,前橋
短水路,女,自由形,100m,60,0,佐々木　幸子 前橋,1:15.69,2017/5/3,佐々木幸子,前橋
短水路,女,背泳ぎ,25m,60,0,西井　良子 福生,16.60,2023/3/19,西井良子,福生
短水路,女,自由形,100m,65,0,佐多　信子 デルタ,1:17.45,2017/10/8,佐多信子,デルタ
短水路,女,背泳ぎ,25m,65,0,澤野　幸子 清瀬,19.33,2015/7/4,澤野幸子,清瀬
短水路,女,自由形,100m,70,0,佐多　信子 デルタ,1:18.59,2019/1/27,佐多信子,デルタ
短水路,女,背泳ぎ,25m,70,0,澤野　幸子 清瀬,20.09,2017/4/2,澤野幸子,清瀬
