course,gender,event,distance,age_group,is_relay,name_team_raw,record,established_date,athlete_name,team_name
長水路,女,自由形,50m,18,0,吉田絵理菜,28.03,2009/9/26,吉田絵理菜,西東京
長水路,女,自由形,50m,25,0,名須川紗綾,27.43,2019/12/15,名須川紗綾,S湘南台
長水路,女,自由形,50m,30,0,井田満佐子,26.42,2023/2/23,井田満佐子,ときわ台
長水路,女,自由形,1500m,25,0,山崎優,20:32.14,2011/11/5,山崎優,清瀬
長水路,女,自由形,1500m,30,0,山崎優,21:29.02,2014/11/1,山崎優,清瀬
長水路,女,自由形,50m,35,0,志賀友紀子,28.87,2017/1/9,志賀友紀子,東青梅
長水路,女,自由形,1500m,35,0,酒井まゆみ,21:58.37,2011/1/16,酒井まゆみ,新浦安
長水路,女,自由形,50m,40,0,砂押裕美,29.16,2017/11/26,砂押裕美,大宮宮原
長水路,女,自由形,1500m,40,0,星美代子,25:27.24,2012/1/15,星美代子,八千代台
長水路,女,自由形,50m,45,0,舘野美香,29.51,2019/12/15,舘野美香,目黒
長水路,女,自由形,1500m,45,0,篠原理恵,22:31.41,2016/6/18,篠原理恵,南宇都宮
長水路,女,自由形,50m,50,0,舘野美香,29.26,2023/2/23,舘野美香,目黒
長水路,女,自由形,1500m,50,0,志手直子,20:21.66,2012/1/15,志手直子,前橋
長水路,女,自由形,50m,55,0,永瀬秀子,31.18,2017/1/9,永瀬秀子,二俣川
長水路,女,自由形,1500m,55,0,志手直子,21:01.79,2015/1/17,志手直子,前橋
長水路,女,自由形,1500m,60,0,中平信子,24:26.99,2011/11/5,中平信子,成瀬
長水路,女,自由形,50m,65,0,後藤久美子,35.41,2009/10/4,後藤久美子,戸塚
長水路,女,自由形,1500m,65,0,中平信子,25:47.78,2016/11/5,中平信子,成瀬
長水路,女,自由形,50m,70,0,甲杷昌子,37.31,2011/11/23,甲杷昌子,長沼
長水路,女,自由形,1500m,70,0,後藤久美子,27:41.22,2015/1/18,後藤久美子,戸塚
長水路,女,自由形,50m,75,0,木澤杲子,40.60,2012/11/23,木澤杲子,柏
長水路,女,自由形,1500m,75,0,森京子,29:07.59,2018/9/9,森京子,清瀬
長水路,女,自由形,50m,80,0,木澤杲子,41.40,2017/1/9,木澤杲子,柏
