ID,回,水路,タイプ,競技名,競技性別,年齢区分,大会記録,日本記録,世界記録
1,80,長水路,個人,50m自由形,女子,18～24歳,28.03,26.65,記録なし
2,80,長水路,個人,50m自由形,女子,25～29歳,27.43,26.27,25.37
3,80,長水路,個人,50m自由形,女子,30～34歳,26.42,26.41,25.33
4,80,長水路,個人,50m自由形,女子,35～39歳,28.87,26.74,25.58
5,80,長水路,個人,50m自由形,女子,40～44歳,29.16,26.95,26.44
6,80,長水路,個人,50m自由形,女子,45～49歳,29.51,27.78,26.07
7,80,長水路,個人,50m自由形,女子,50～54歳,29.26,28.25,27.09
8,80,長水路,個人,50m自由形,女子,55～59歳,31.18,29,27.86
9,80,長水路,個人,50m自由形,女子,60～64歳,32.38,30.31,28.84
10,80,長水路,個人,50m自由形,女子,65～69歳,35.41,32.46,29.1
11,80,長水路,個人,50m自由形,女子,70～74歳,37.31,33.61,30.73
12,80,長水路,個人,50m自由形,女子,75～79歳,40.6,35.25,32.96
13,80,長水路,個人,50m自由形,女子,80～84歳,41.4,36.61,36.61
14,80,長水路,個人,50m自由形,女子,85～89歳,44.13,38.89,38.89
15,80,長水路,個人,50m自由形,女子,90～94歳,1:08.70,51.68,45.44
16,80,長水路,個人,50m自由形,男子,18～24歳,22.8,22.76,記録なし
17,80,長水路,個人,50m自由形,男子,25～29歳,23.01,22.52,22.3
18,80,長水路,個人,50m自由形,男子,30～34歳,24.54,22.95,22.13
19,80,長水路,個人,50m自由形,男子,35～39歳,24.83,23.2,22.4
20,80,長水路,個人,50m自由形,男子,40～44歳,25.23,23.25,23.14
21,80,長水路,個人,50m自由形,男子,45～49歳,25.69,23.55,23.55
22,80,長水路,個人,50m自由形,男子,50～54歳,25.7,23.67,23.67
23,80,長水路,個人,50m自由形,男子,55～59歳,26.96,24.45,24.45
24,80,長水路,個人,50m自由形,男子,60～64歳,27.13,26.66,24.82
25,80,長水路,個人,50m自由形,男子,65～69歳,28.14,26.19,26.19
26,80,長水路,個人,50m自由形,男子,70～74歳,29.64,28.58,27.12
27,80,長水路,個人,50m自由形,男子,75～79歳,30.61,29.9,28.49
28,80,長水路,個人,50m自由形,男子,80～84歳,36.52,31.23,31.23
29,80,長水路,個人,50m自由形,男子,85～89歳,43.41,33.74,33.74
30,80,長水路,個人,50m自由形,男子,90～94歳,52.43,40.89,38.64
