ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
1,74,1位,セ・二俣川,セントラルフィットネスクラブ フタマタガワ,2267,1228,948,91
2,74,2位,セ・成城,セントラルウェルネスクラブ セイジョウ,1306,492,739,75
3,74,3位,セ・阿佐谷,トーアセントラルフィットネスクラブ アサガヤ,1154,709,413,32
4,74,4位,セ・清瀬,セントラルウェルネスクラブ キヨセ,1026,555,448,23
5,74,5位,セ・慶應日吉,セントラルウェルネスクラブ ケイオウヒヨシ,860,454,365,41
6,74,6位,セ・越谷,セントラルウェルネスクラブ コシガヤ,701,332,369,0
7,74,7位,セ・用賀,セントラルフィットネスクラブ ヨウガ,689,458,205,26
8,74,8位,セ・大森,セントラルウェルネスクラブ オオモリ,659,261,398,0
9,74,9位,セ・葛西,セントラルウェルネスクラブ カサイ,658,326,320,12
10,74,10位,セ・松戸,ニッセイセントラルフィットネスクラブ マツド,607,173,429,5
11,74,11位,セ・市ヶ尾,セントラルフィットネスクラブ イチガオ,596,381,180,35
12,74,12位,セ・天王洲,セントラルフィットネスクラブ テンノウズ,588,259,313,16
13,74,13位,セ・目黒,セントラルフィットネスクラブ メグロ,537,194,320,23
14,74,14位,セ・南千住,ミナミセンジュ,507,234,273,0
15,74,15位,セ・千葉みなと,セントラルフィットネスクラブ チバミナト,477,218,237,22
16,74,16位,セ・おおたか,セントラルウェルネスクラブ オオタカノモリ,461,113,348,0
17,74,17位,セ・トレッサ,セントラルウェルネスクラブ トレッサオオクラヤ,429,217,189,23
18,74,18位,セ・長津田,セントラルウェルネスクラブ ナガツカミナミダイ,404,181,204,19
19,74,19位,セ・新浦安,セントラルウェルネスクラブ シンウラヤス,391,230,121,40
20,74,20位,セ・流山,セントラルフィットネスクラブ ナガレヤマ,389,271,118,0
21,74,20位,セ・大宮宮原,セントラルウェルネスクラブ オオミヤミヤハラ,389,272,117,0
22,74,22位,セ・茂原,セントラルフィットネスクラブ モバラ,386,238,131,17
23,74,23位,セ・我孫子,セントラルウェルネスクラブ アビコ,360,169,177,14
24,74,24位,セ・上池袋,セントラルウェルネスクラブ カミイケブクロ,358,148,209,1
25,74,25位,セ・成瀬,セントラルウェルネスクラブ ナルセ,351,183,161,7
26,74,26位,セ・福生,セントラルスポーツフッサ,341,213,126,2
27,74,27位,セ・市川,セントラルフィットネスクラブ イチカワ,307,222,85,0
28,74,28位,セ・横浜,セントラルスイムクラブ ヨコハマ,303,91,212,0
29,74,29位,セ・桶川北本,セントラルウェルネスクラブ オケガワキタモト,293,122,171,0
30,74,30位,セ・ときわ台,セントラルウェルネスクラブ トキワダイ,288,197,91,0
31,74,31位,セ・自由が丘,セントラルフィットネスクラブ ジユウガオカ,258,102,156,0
32,74,32位,クリーンスパ,セントラルスポーツクリーンスパ イチカワ,255,68,187,0
33,74,33位,セ・蘇我,セントラルフィットネスクラブ ソガ,245,73,172,0
34,74,34位,セ・谷津,セントラルフィットネスクラブ ヤツ,218,108,110,0
