ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
1,75,1位,セ・二俣川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌﾀﾏﾀｶﾞﾜ,1115,486,522,107
2,75,2位,セ・成城,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｾｲｼﾞｮｳ,840,284,450,106
3,75,3位,ザバス鶴見,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞﾂﾙﾐ,783,398,304,81
4,75,4位,セ・阿佐谷,ﾄｰｱｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｻｶﾞﾔ,660,355,250,55
5,75,5位,セ・清瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｷﾖｾ,400,289,98,13
6,75,6位,セ・慶應日吉,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｹｲｵｳﾋヨシ,384,232,125,27
7,75,7位,セ・葛西,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｻｲ,363,127,225,11
8,75,8位,セ・松戸,ﾆｯｾｲｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾏﾂﾄﾞ,332,83,248,1
9,75,9位,セ・大森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾓﾘ,316,165,148,3
10,75,10位,セ・天王洲,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾃﾝﾉｳｽﾞ,302,134,148,20
11,75,11位,セ・越谷,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｺｼｶﾞﾔ,290,135,146,9
12,75,12位,セ・おおたか,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾀｶﾉﾓﾘ,278,98,176,4
13,75,12位,セ・長津田,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅｶﾞﾂﾀﾞﾐﾅﾐﾀﾞｲ,278,127,98,53
14,75,14位,セ・武蔵小杉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾑｻｼｺｽｷﾞ,259,188,52,19
15,75,15位,セ・千葉みなと,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾁﾊﾞﾐﾅﾄ,253,113,131,9
16,75,16位,セ・市ヶ尾,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾞｵ,249,137,89,23
17,75,17位,セ・大宮宮原,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵミﾔミﾔハラ,242,158,65,19
18,75,18位,セ・南千住,ｾ・ｳｪﾙﾈﾙｸﾗﾌﾞﾐﾅミｾﾝｼﾞｭ,190,78,107,5
19,75,19位,セ・我孫子,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｱﾋﾞｺ,157,59,94,4
20,75,20位,セ・柏,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｼﾜ,149,83,60,6
21,75,21位,セ・用賀,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾖｳｶﾞ,146,76,46,24
22,75,22位,セ・成瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞナルセ,144,78,45,21
23,75,23位,セ・目黒,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞメｸﾞﾛ,133,20,107,6
24,75,24位,セ・流山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞナガレヤマ,121,81,40,0
25,75,25位,セ・八王子,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞハチオウジ,108,81,27,0
26,75,26位,セ・谷津,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞヤツ,107,38,49,20
27,75,27位,セ・蒲田,ﾗｳﾞｨｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞカマタ,106,43,53,10
28,75,28位,セ・市川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾜ,105,80,25,0
29,75,29位,セ・福生,ｾﾝﾄﾗﾙｽﾎﾟｰﾂﾌｯｻ,103,69,34,0
30,75,30位,セ・志木,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞシキ,102,72,30,0
31,75,31位,セ・新都心,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｻｲﾀﾏｼﾝﾄｼﾝ,99,45,54,0
32,75,32位,セ・前橋,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾏｴﾊﾞｼ,95,89,6,0
33,75,32位,セ・茂原,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞモバラ,95,58,27,10
34,75,32位,ザバス川崎,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞｶﾜｻｷ,95,37,56,2
35,75,35位,セ・自由が丘,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾞﾕｳｶﾞｵｶ,91,12,79,0
