round,pool_type,race_no,gender,event_name,age_group_label,world_record,japan_record,meet_record,rank,team_name,combined_age,lane,time_display,time_seconds,is_meet_record,is_japan_record,is_world_record,lap_times
75,長水路,3,女子,4×50mフリーリレー,320～359歳,2:52.72,2:52.72,3:41.09,1,セ・松戸,327,1/7,3:16.24,196.24,True,False,False,"45.00,1:35.55,2:19.00"
75,長水路,3,女子,4×50mフリーリレー,320～359歳,2:52.72,2:52.72,3:41.09,2,セ・天王洲,320,1/2,3:45.87,225.87,False,False,False,"56.85,1:51.26,2:47.78"
75,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:32.73,2:45.72,1,セ・大森,280,2/4,2:46.41,166.41,False,False,False,"39.85,1:22.46,2:06.90"
75,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:32.73,2:45.72,2,セ・柏,302,2/9,2:58.14,178.14,False,False,False,"42.57,1:27.08,2:14.89"
75,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:32.73,2:45.72,3,セ・おおたか,280,1/4,3:04.66,184.66,False,False,False,"37.43,1:28.32,2:19.27"
75,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:32.73,2:45.72,4,セ・戸塚,281,1/3,3:11.79,191.79,False,False,False,"49.93,1:35.98,2:25.91"
75,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:32.73,2:45.72,5,セ・天王洲,287,1/8,3:22.28,202.28,False,False,False,"43.51,1:31.69,2:29.09"
75,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:11.30,2:18.66,1,セ・二俣川,242,3/5,2:25.49,145.49,False,False,False,"32.70,1:10.49,1:48.97"
75,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:11.30,2:18.66,2,セ・成城,245,3/3,2:36.30,156.3,False,False,False,"34.41,1:16.21,1:58.11"
75,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:11.30,2:18.66,3,ザバス鶴見,242,2/7,2:36.51,156.51,False,False,False,"39.68,1:15.92,1:55.03"
75,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:11.30,2:18.66,4,セ・二俣川,251,2/3,2:39.05,159.05,False,False,False,"42.44,1:27.95,2:04.12"
75,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:11.30,2:18.66,5,セ・成瀬,250,2/5,2:40.44,160.44,False,False,False,"40.40,1:17.98,2:02.26"
75,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:11.30,2:18.66,6,セ・成城,252,3/2,2:42.18,162.18,False,False,False,"40.50,1:22.96,2:01.69"
75,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:11.30,2:18.66,7,セ・おおたか,247,1/5,2:45.47,165.47,False,False,False,"39.78,1:21.29,2:02.88"
75,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:11.30,2:18.66,8,セ・阿佐谷,258,2/6,2:46.01,166.01,False,False,False,"48.69,1:25.83,2:04.16"
75,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:11.30,2:18.66,9,セ・天王洲,254,2/8,2:50.60,170.6,False,False,False,"45.69,1:28.06,2:11.54"
75,長水路,3,女子,4×50mフリーリレー,200～239歳,1:54.72,1:58.55,2:15.89,1,セ・千葉みなと,200,4/4,2:09.81,129.81,True,False,False,"30.14,1:02.76,1:36.04"
