ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
1,76,1位,セ・二俣川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌﾀﾏﾀｶﾞﾜ,2019.0,1012.0,895.0,112.0
2,76,2位,セ・阿佐谷,ﾄｰｱｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｻｶﾞﾔ,1509.0,881.0,529.0,99.0
3,76,3位,セ・成城,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｾｲｼﾞｮｳ,1100.0,526.0,515.0,59.0
4,76,4位,セ・慶應日吉,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｹｲｵｳﾋﾖｼ,1047.0,534.0,483.0,30.0
5,76,5位,セ・葛西,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｻｲ,1023.0,584.0,426.0,13.0
6,76,6位,セ・長津田,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅｶﾞﾂﾀﾞﾐﾅﾐﾀﾞｲ,975.0,564.0,356.0,55.0
7,76,7位,セ・清瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｷﾖｾ,948.0,509.0,415.0,24.0
8,76,8位,セ・大森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾓﾘ,847.0,404.0,400.0,43.0
9,76,9位,セ・大宮宮原,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾐﾔﾐﾔﾊﾗ,718.0,552.0,164.0,2.0
10,76,10位,セ・天王洲,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾃﾝﾉｳｽﾞ,691.0,252.0,415.0,24.0
11,76,11位,セ・おおたか,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾀｶﾉﾓﾘ,682.0,301.0,381.0,0.0
12,76,12位,セ・松戸,ﾆｯｾｲｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾏﾂﾄﾞ,660.0,178.0,471.0,11.0
13,76,13位,セ・南千住,ｾ・ｳｪﾙﾈﾙｸﾗﾌﾞﾐﾅﾐｾﾝｼﾞｭ,647.0,239.0,396.0,12.0
14,76,14位,セ・越谷,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｺｼｶﾞﾔ,624.0,288.0,332.0,4.0
15,76,15位,セ・市ヶ尾,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾞｵ,523.0,346.0,156.0,21.0
16,76,16位,セ・用賀,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾖｳｶﾞ,422.0,284.0,138.0,0.0
17,76,17位,セ・茂原,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾓﾊﾞﾗ,373.0,159.0,208.0,6.0
18,76,18位,セ・我孫子,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｱﾋﾞｺ,362.0,129.0,215.0,18.0
19,76,19位,セ・市川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾜ,352.0,205.0,137.0,10.0
20,76,20位,セ・自由が丘,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾞﾕｳｶﾞｵｶ,342.0,102.0,240.0,0.0
21,76,21位,セ・流山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾅｶﾞﾚﾔﾏ,332.0,248.0,74.0,10.0
22,76,22位,セ・トレッサ,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾄﾚｯｻｵｵｸﾗﾔﾏ,322.0,106.0,206.0,10.0
23,76,23位,セ・千葉みなと,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾁﾊﾞﾐﾅﾄ,302.0,101.0,168.0,33.0
24,76,24位,セ・志木,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｼｷ,291.0,193.0,98.0,0.0
25,76,25位,セ・戸塚,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞﾄﾂｶ,278.0,81.0,197.0,0.0
26,76,26位,セ・目黒,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ메ｸﾞﾛ,264.0,42.0,219.0,3.0
27,76,27位,セ・谷津,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾔﾂ,242.0,133.0,97.0,12.0
28,76,28位,セ・蘇我,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｿｶﾞ,238.0,50.0,168.0,20.0
29,76,29位,クリーンスパ,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾘEEﾝｽﾊﾟｲﾁｶﾜ,234.0,60.0,174.0,0.0
30,76,30位,セ・八王子,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾊﾁｵｳｼﾞ,233.0,129.0,104.0,0.0
31,76,31位,セ・福生,ｾﾝﾄﾗﾙｽﾎﾟｰﾂﾌｯｻ,228.0,120.0,108.0,0.0
32,76,32位,セ・桶川北本,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｹｶﾞﾜｷﾀﾓﾄ,220.0,109.0,111.0,0.0
33,76,33位,セ・ときわ台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾄｷﾜﾀﾞｲ,207.0,119.0,88.0,0.0
34,76,34位,セ・上池袋,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶﾐｲｹﾌﾞｸﾛ,193.0,136.0,51.0,6.0
35,76,35位,セ・成瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅﾙｾ,192.0,88.0,104.0,0.0
36,76,36位,セ・南青山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾐﾅﾐｱｵﾔﾏ,190.0,111.0,79.0,0.0
37,76,37位,セ・館山,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞﾀﾃﾔﾏ,188.0,93.0,95.0,0.0
38,76,38位,セ・横浜,ｾﾝﾄﾗﾙｽスイムｸﾗﾌﾞﾖコハマ,177.0,69.0,99.0,9.0
39,76,39位,CS南行徳,ｾﾝﾄﾗﾙｽﾎﾟｰﾂﾐﾅﾐｷﾞｮｳﾄｸ,162.0,0.0,162.0,0.0
40,76,40位,ザバス金沢八,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞｶﾅｻﾞﾜﾊｯｹｲ,147.0,0.0,147.0,0.0
41,76,41位,セ・蒲田,ﾗｳﾞｨｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｶﾏﾀ,146.0,63.0,83.0,0.0
42,76,42位,セ・湘南ＬＴ,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼｮｳﾅﾝｴﾙﾃ,139.0,13.0,126.0,0.0
43,76,43位,Ｇ－ＳＰＡ,ｺﾞｰﾙﾃﾞﾝｽﾊﾟﾆｭｰｵｰﾀﾆ,133.0,92.0,41.0,0.0
44,76,44位,セ・下北沢,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾓｷﾀｻﾞﾜ,131.0,65.0,66.0,0.0
45,76,44位,セ・能見台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾉｳｹﾝﾀﾞｲ,131.0,57.0,74.0,0.0
46,76,46位,セ・新浦安,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｼシンｳﾗﾔｽ,129.0,68.0,61.0,0.0
47,76,47位,セ・府中,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌﾁｭｳ,127.0,40.0,87.0,0.0
48,76,48位,ザバス川崎,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞｶﾜｻｷ,126.0,37.0,86.0,3.0
49,76,49位,セ・西東京,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾆｼﾄｳｷｮウ,121.0,95.0,26.0,0.0
50,76,50位,曽谷・セ,ｿﾔｾﾝﾄﾗﾙｽスイムｸﾗﾌﾞ,120.0,56.0,64.0,0.0
51,76,51位,セ・武蔵小杉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾑｻｼｺｽｷﾞ,102.0,102.0,0.0,0.0
52,76,52位,セ・新都心,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｻｲﾀﾏｼﾝﾄｼﾝ,99.0,0.0,99.0,0.0
53,76,53位,セ・溝ノ口,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾐｿﾞﾉｸﾁ,96.0,0.0,96.0,0.0
54,76,54位,セ・Ｆ宇都宮,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｳﾂﾉﾐﾔ,93.0,16.0,77.0,0.0
55,76,55位,セ・南宇都宮,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞﾐﾅﾐｳﾂﾉﾐﾔ,91.0,8.0,83.0,0.0
56,76,56位,セ・宇都宮,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞｳﾂﾉﾐﾔ,87.0,0.0,87.0,0.0
57,76,57位,セ・柏,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｼﾜ,86.0,81.0,5.0,0.0
58,76,58位,セ・青砥,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｵﾄ,83.0,43.0,40.0,0.0
59,76,59位,ザバス鶴見,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞﾂﾙﾐ,77.0,50.0,27.0,0.0
60,76,60位,セ・東戸塚,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞﾋｶﾞｼﾄﾂｶ,75.0,75.0,0.0,0.0
61,76,61位,セ・高崎,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾀｶｻｷ,71.0,50.0,21.0,0.0
62,76,61位,セ・新川崎,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾝｶﾜｻｷ,71.0,38.0,33.0,0.0
63,76,63位,墨田区体育館,ｽﾐﾀﾞｸｿｳｺﾞｳﾀｲｲｸｶﾝ,67.0,38.0,29.0,0.0
64,76,64位,セ・稲毛海岸,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾅｹﾞｶｲｶﾞﾝ,65.0,13.0,52.0,0.0
65,76,65位,セ・久喜,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾆｼﾞｭｳﾖﾝｷ,64.0,37.0,27.0,0.0
66,76,65位,セ・亀有,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｶﾒｱﾘ,64.0,22.0,42.0,0.0
67,76,65位,セ・Ｓ湘南台,ｾﾝﾄﾗﾙスイムｸﾗﾌﾞｼｮｳﾅﾝﾀﾞｲ,64.0,0.0,64.0,0.0
68,76,68位,セ・長沼,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅｶﾞﾇﾏ,62.0,40.0,22.0,0.0
69,76,68位,セ・西新井,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾆｼｱﾗｲ,62.0,0.0,62.0,0.0
70,76,70位,セ・藤沢,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌｼﾞｻﾜ,60.0,17.0,43.0,0.0
71,76,71位,セ・八千代代,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾔﾁﾖﾀﾞｲ,50.0,50.0,0.0,0.0
72,76,72位,セ・川越,ｾﾝﾄﾗﾙスイムｸﾗﾌﾞｶﾜｺﾞｴ,46.0,0.0,46.0,0.0
73,76,73位,セ・平塚,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾋﾗﾂｶ,40.0,0.0,40.0,0.0
74,76,74位,セ・福島,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾌｸｼﾏ,35.0,35.0,0.0,0.0
75,76,74位,セ・岩槻,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞｲﾜﾂｷ,35.0,35.0,0.0,0.0
76,76,74位,セ・東十条,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾋｶﾞｼｼﾞｭｳｼﾞｮ,35.0,0.0,35.0,0.0
77,76,77位,セ・Ｆ東戸塚,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾋｶﾞｼﾄﾂｶ,34.0,34.0,0.0,0.0
78,76,78位,セ・新三郷,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾝﾐｻﾄ,21.0,0.0,21.0,0.0
