round,pool_type,race_no,gender,event_name,age_group,world_record,japan_record,meet_record,rank,athlete_name,team_name,lane,time_display,time_seconds,is_meet_record,is_japan_record,is_world_record,points_w,points_n,dive_time,lap_times,is_dnf
76,短水路,1,女子,100m個人メドレー,80～84歳,1:38.45,1:36.03,2:26.33,1,長谷部征子,セ・八王子,3/3,2:05.42,125.42,True,False,False,,,1.03,"29.16,59.80,1:34.89",False
76,短水路,1,女子,100m個人メドレー,80～84歳,1:38.45,1:36.03,2:26.33,2,久保美紀枝,セ・流山,1/4,2:27.70,147.7,False,False,False,,,1.18,"33.93,1:11.00,1:52.70",False
76,短水路,1,女子,100m個人メドレー,80～84歳,1:38.45,1:36.03,2:26.33,3,手塚泰子,セ・清瀬,1/3,2:30.00,150.0,False,False,False,,,0.97,"37.59,1:17.18,1:57.22",False
76,短水路,1,女子,100m個人メドレー,80～84歳,1:38.45,1:36.03,2:26.33,4,御手洗ヨシ,CS南行徳,1/6,2:37.13,157.13,False,False,False,,,1.16,"40.43,1:17.79,2:03.87",False
76,短水路,1,女子,100m個人メドレー,75～79歳,1:27.96,1:31.38,1:50.59,1,岡田まり子,CS南行徳,2/4,2:04.18,124.18,False,False,False,,,1.0,"28.01,1:01.37,1:35.59",False
76,短水路,1,女子,100m個人メドレー,75～79歳,1:27.96,1:31.38,1:50.59,2,竹原君枝,セ・慶應日吉,4/7,2:04.78,124.78,False,False,False,,,0.95,"28.67,1:00.60,1:37.27",False
76,短水路,1,女子,100m個人メドレー,75～79歳,1:27.96,1:31.38,1:50.59,3,原田早苗,セ・南千住,2/2,2:15.05,135.05,False,False,False,,,1.09,"31.80,1:05.45,1:43.99",False
76,短水路,1,女子,100m個人メドレー,75～79歳,1:27.96,1:31.38,1:50.59,4,馬場悦子,セ・清瀬,2/5,2:16.73,136.73,False,False,False,,,1.2,"31.58,1:03.27,1:44.01",False
76,短水路,1,女子,100m個人メドレー,70～74歳,1:18.81,1:24.88,1:40.10,1,青木華世子,セ・松戸,9/8,1:35.50,95.5,True,False,False,,,0.76,"20.00,45.15,1:13.68",False
76,短水路,1,女子,100m個人メドレー,70～74歳,1:18.81,1:24.88,1:40.10,2,藤代由美子,セ・長沼,5/4,1:43.70,103.7,False,False,False,,,0.82,"20.54,48.88,1:19.27",False
76,短水路,1,女子,100m個人メドレー,70～74歳,1:18.81,1:24.88,1:40.10,3,原田岳美,セ・藤沢,7/2,1:44.62,104.62,False,False,False,,,0.78,"21.68,49.08,1:21.85",False
76,短水路,1,女子,100m個人メドレー,70～74歳,1:18.81,1:24.88,1:40.10,4,見崎幸子,墨田区体育館,4/1,2:00.31,120.31,False,False,False,,,0.91,"25.65,56.65,1:33.15",False
76,短水路,1,女子,100m個人メドレー,70～74歳,1:18.81,1:24.88,1:40.10,5,山村昌子,セ・南千住,3/2,2:03.44,123.44,False,False,False,,,0.95,"26.18,58.60,1:33.19",False
76,短水路,1,女子,100m個人メドレー,70～74歳,1:18.81,1:24.88,1:40.10,6,菅和江,セ・戸塚,5/8,2:03.66,123.66,False,False,False,,,0.98,"29.01,59.84,1:37.58",False
76,短水路,1,女子,100m個人メドレー,70～74歳,1:18.81,1:24.88,1:40.10,7,高木保子,セ・おおたか,4/4,2:04.76,124.76,False,False,False,,,1.01,"30.79,1:03.26,1:36.59",False
76,短水路,1,女子,100m個人メドレー,70～74歳,1:18.81,1:24.88,1:40.10,8,菅井道子,セ・戸塚,3/5,2:06.47,126.47,False,False,False,,,1.05,"28.68,1:02.16,1:36.72",False
76,短水路,1,女子,100m個人メドレー,70～74歳,1:18.81,1:24.88,1:40.10,9,松木真知子,セ・ときわ台,2/6,2:10.35,130.35,False,False,False,,,1.09,"30.00,1:03.67,1:37.30",False
76,短水路,1,女子,100m個人メドレー,70～74歳,1:18.81,1:24.88,1:40.10,10,大久保祐美子,セ・おおたか,3/8,2:11.53,131.53,False,False,False,,,1.01,"26.67,58.99,1:42.87",False
76,短水路,1,女子,100m個人メドレー,65～69歳,1:15.65,1:24.14,1:30.20,1,菅野泰子,セ・松戸,9/5,1:33.65,93.65,False,False,False,,,0.67,"19.48,45.66,1:12.96",False
76,短水路,1,女子,100m個人メドレー,65～69歳,1:15.65,1:24.14,1:30.20,2,森谷登志江,セ・慶應日吉,7/6,1:42.40,102.4,False,False,False,,,0.88,"21.46,46.65,1:18.22",False
76,短水路,1,女子,100m個人メドレー,65～69歳,1:15.65,1:24.14,1:30.20,3,井手敦子,セ・慶應日吉,7/1,1:42.70,102.7,False,False,False,,,0.9,"21.42,48.38,1:19.62",False
76,短水路,1,女子,100m個人メドレー,65～69歳,1:15.65,1:24.14,1:30.20,4,岩崎良子,セ・おおたか,5/1,1:44.04,104.03999999999999,False,False,False,,,1.0,"21.62,48.18,1:19.79",False
76,短水路,1,女子,100m個人メドレー,65～69歳,1:15.65,1:24.14,1:30.20,5,日和久美子,セ・戸塚,5/3,1:54.46,114.46000000000001,False,False,False,,,0.97,"25.18,54.65,1:28.25",False
76,短水路,1,女子,100m個人メドレー,65～69歳,1:15.65,1:24.14,1:30.20,6,久松葉子,セ・成瀬,4/5,1:54.88,114.88,False,False,False,,,1.1,"27.69,55.21,1:28.16",False
