relay_key,swim_order,athlete_name,dive_time,split_display,split_seconds,is_record
76_3_320～359歳_松戸_1,1,川口栄子,,25.13,25.13,False
76_3_320～359歳_松戸_1,2,後藤節子,0.84,25.13,25.13,False
76_3_320～359歳_松戸_1,3,八田清子,,34.75,34.75,False
76_3_320～359歳_松戸_1,4,須山順子,,25.03,25.03,False
76_3_280～319歳_葛西_1,1,松村恵子,,22.82,22.82,False
76_3_280～319歳_葛西_1,2,小澤優子,0.71,22.82,22.82,False
76_3_280～319歳_葛西_1,3,大山恵子,,25.46,25.46,False
76_3_280～319歳_葛西_1,4,青砥美智子,,18.97,18.97,False
76_3_280～319歳_天王洲_2,1,後藤明美,,23.79,23.79,False
76_3_280～319歳_天王洲_2,2,櫻田琴,0.82,23.79,23.79,False
76_3_280～319歳_天王洲_2,3,浅野みどり,,23.66,23.66,False
76_3_280～319歳_天王洲_2,4,川端淑子,,19.91,19.91,False
76_3_280～319歳_大森_3,1,藤井一恵,,24.37,24.37,False
76_3_280～319歳_大森_3,2,井上美佐子,0.78,24.37,24.37,False
76_3_280～319歳_大森_3,3,市野克子,,23.54,23.54,False
76_3_280～319歳_大森_3,4,室谷晴江,,25.59,25.59,False
76_3_280～319歳_松戸_4,1,森本美恵,,22.42,22.42,False
76_3_280～319歳_松戸_4,2,池田則子,0.73,22.42,22.42,False
76_3_280～319歳_松戸_4,3,相澤史子,,27.83,27.83,False
76_3_280～319歳_松戸_4,4,若松はる子,,21.82,21.82,False
76_3_280～319歳_二俣川_5,1,清水裕子,,24.78,24.78,False
76_3_280～319歳_二俣川_5,2,小沢邦恵,0.77,24.78,24.78,False
76_3_280～319歳_二俣川_5,3,近藤ひな子,,26.35,26.35,False
76_3_280～319歳_二俣川_5,4,吉見一江,,21.19,21.19,False
76_3_280～319歳_成城_6,1,松田聡美,,20.81,20.81,False
76_3_280～319歳_成城_6,2,上田寿美子,0.67,20.81,20.81,False
76_3_280～319歳_成城_6,3,草森理子,,31.60,31.6,False
76_3_280～319歳_成城_6,4,栗林眞知子,,22.81,22.81,False
76_3_280～319歳_慶應日吉_7,1,池淵玲子,,27.96,27.96,False
76_3_280～319歳_慶應日吉_7,2,岡本靖子,0.79,27.96,27.96,False
76_3_280～319歳_慶應日吉_7,3,森谷登志江,,28.66,28.66,False
76_3_280～319歳_慶應日吉_7,4,戸倉陽子,,19.06,19.06,False
76_3_280～319歳_戸塚_8,1,菅和江,,26.50,26.5,False
76_3_280～319歳_戸塚_8,2,福田加代子,0.71,26.50,26.5,False
76_3_280～319歳_戸塚_8,3,日和久美子,,26.48,26.48,False
76_3_280～319歳_戸塚_8,4,菅井道子,,23.02,23.02,False
76_3_280～319歳_阿佐谷_9,1,池田真木子,,29.31,29.31,False
76_3_280～319歳_阿佐谷_9,2,小池理恵子,0.94,29.31,29.31,False
76_3_280～319歳_阿佐谷_9,3,樋口孝子,,21.83,21.83,False
76_3_280～319歳_阿佐谷_9,4,田中敏子,,24.86,24.86,False
