レース番号,競技性別,競技名,世界記録,日本記録,年齢区分,大会記録,順位,チーム名,合計年齢,水路,時間,大会新,LAPタイム,選手名,飛込タイム,タイム
No.3,女子,4x50mフリ-リレ-,2:52.72,2:52.72,320~359歳,3:16.24,1,セ・松戸,324歳,1/3,3:16.57,,"44.2,1:30.15,2:21.31",八田清子,0.91,44.20
No.3,女子,4x50mフリ-リレ-,2:52.72,2:52.72,320~359歳,3:16.24,1,セ・松戸,324歳,1/3,3:16.57,,"44.2,1:30.15,2:21.31",川口栄子,0.25,45.95
No.3,女子,4x50mフリ-リレ-,2:52.72,2:52.72,320~359歳,3:16.24,1,セ・松戸,324歳,1/3,3:16.57,,"44.2,1:30.15,2:21.31",須山順子,,51.16
No.3,女子,4x50mフリ-リレ-,2:52.72,2:52.72,320~359歳,3:16.24,1,セ・松戸,324歳,1/3,3:16.57,,"44.2,1:30.15,2:21.31",後藤節子,0.86,55.26
No.3,女子,4x50mフリ-リレ-,2:52.72,2:52.72,320~359歳,3:16.24,2,セ・天王洲,324歳,1/1,3:57.61,,"1:06.76,2:05.85,3:02.35",新堀友子,1.54,1:06.76
No.3,女子,4x50mフリ-リレ-,2:52.72,2:52.72,320~359歳,3:16.24,2,セ・天王洲,324歳,1/1,3:57.61,,"1:06.76,2:05.85,3:02.35",平田美佐子,0.41,59.09
No.3,女子,4x50mフリ-リレ-,2:52.72,2:52.72,320~359歳,3:16.24,2,セ・天王洲,324歳,1/1,3:57.61,,"1:06.76,2:05.85,3:02.35",川端淑子,0.33,56.5
No.3,女子,4x50mフリ-リレ-,2:52.72,2:52.72,320~359歳,3:16.24,2,セ・天王洲,324歳,1/1,3:57.61,,"1:06.76,2:05.85,3:02.35",柴田千代子,,55.26
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,1,セ・天王洲,283歳,1/6,2:53.58,,"43.95,1:31.72,2:12.41",梅田栄己子,43.95,
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,1,セ・天王洲,283歳,1/6,2:53.58,,"43.95,1:31.72,2:12.41",鬼束洋子,0.72,47.77
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,1,セ・天王洲,283歳,1/6,2:53.58,,"43.95,1:31.72,2:12.41",後藤明美,0.84,40.69
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,1,セ・天王洲,283歳,1/6,2:53.58,,"43.95,1:31.72,2:12.41",浅野みどり,0.39,41.17
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,2,セ・大森,286歳,2/8,3:03.59,,"53.01,1:36.82,2:22.65",富樫博子,1.20,53.01
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,2,セ・大森,286歳,2/8,3:03.59,,"53.01,1:36.82,2:22.65",市野克子,0.92,43.81
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,2,セ・大森,286歳,2/8,3:03.59,,"53.01,1:36.82,2:22.65",藤井一恵,0.71,45.83
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,2,セ・大森,286歳,2/8,3:03.59,,"53.01,1:36.82,2:22.65",井上美佐子,0.45,40.94
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,3,セ・用賀,288歳,1/7,3:10.56,,"46.03,1:41.27,2:29.32",佐藤由利子,0.89,46.03
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,3,セ・用賀,288歳,1/7,3:10.56,,"46.03,1:41.27,2:29.32",舘野圭子,0.69,55.24
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,3,セ・用賀,288歳,1/7,3:10.56,,"46.03,1:41.27,2:29.32",崎山治子,,48.05
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,3,セ・用賀,288歳,1/7,3:10.56,,"46.03,1:41.27,2:29.32",捶井泰子,,41.24
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,4,セ・おおたか,306歳,1/2,3:22.20,,"46.13,1:36.20,2:33.57",大久保祐美子,0.98,46.13
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,4,セ・おおたか,306歳,1/2,3:22.20,,"46.13,1:36.20,2:33.57",田中もみぢ,0.74,50.07
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,4,セ・おおたか,306歳,1/2,3:22.20,,"46.13,1:36.20,2:33.57",橋本順子,,57.37
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,4,セ・おおたか,306歳,1/2,3:22.20,,"46.13,1:36.20,2:33.57",松永タズヨ,48.63,
No.3,女子,4x50mフリ-リレ-,2:14.99,2:31.16,280~319歳,2:45.72,5,セ・天王洲,286歳,1/8,3:24.98,,"53.05,1:43.91,2:42.97",長谷川節子,0.91,53.05
