レース番号,競技性別,競技名,世界記録,日本記録,年齢区分,大会記録,順位,選手名,チーム名,水路,時間,大会新,飛込タイム,LAPタイム
No.1,女子,200m自由形,3:14.51,3:14.51,85~89歳,4:28.56,1,森川タェ子,セ・我孫子,1/5,4:46.08,,1.19,"1:06.22,2:18.31,3:31.86"
No.1,女子,200m自由形,3:05.95,3:05.95,80~84歳,4:12.00,1,佐藤由利子,セ・用賀,3/2,3:47.95,大会新,0.92,"51.39,1:49.29,2:48.57"
No.1,女子,200m自由形,3:05.95,3:05.95,80~84歳,4:12.00,2,安澤イソ子,セ・市ヶ尾,1/7,4:24.85,,1.01,"56.13,2:00.04,3:10.61"
No.1,女子,200m自由形,3:05.95,3:05.95,80~84歳,4:12.00,3,御手洗ヨシ,cs南行徳,1/6,4:36.70,,1.06,"56.03,2:05.91,3:22.07"
No.1,女子,200m自由形,2:54.26,2:54.26,75~79歳,3:32.08,1,竹原君枝,セ・慶應日吉,3/9,3:44.09,,0.92,"52.29,1:49.11,2:46.99"
No.1,女子,200m自由形,2:29.72,2:49.80,70~74歳,3:05.67,1,中平信子,セ・成瀬,5/1,3:14.00,,0.85,"44.15,1:33.48,2:24.60"
No.1,女子,200m自由形,2:29.72,2:49.80,70~74歳,3:05.67,2,青砥美智子,セ・葛西,5/9,3:35.16,,1.05,"49.6,1:42.94,2:39.08"
No.1,女子,200m自由形,2:29.72,2:49.80,70~74歳,3:05.67,3,岡村悦子,セ・おおたか,4/9,3:38.29,,1.05,"50.85,1:47.35,2:46.19"
No.1,女子,200m自由形,2:29.72,2:49.80,70~74歳,3:05.67,4,大熊正子,セ・桶川北本,2/4,3:52.45,,0.88,"50.79,1:49.78,2:52.00"
No.1,女子,200m自由形,2:29.72,2:49.80,70~74歳,3:05.67,5,菅井道子,セ・戸塚,2/3,4:08.62,,0.85,"59.4,2:02.84,3:08.61"
No.1,女子,200m自由形,2:25.29,2:42.91,65~69歳,2:54.20,1,菅野泰子,セ・葛西,7/3,2:55.35,,0.86,"40.54,1:25.25,2:10.59"
No.1,女子,200m自由形,2:25.29,2:42.91,65~69歳,2:54.20,2,森谷登志江,セ・慶應日吉,5/5,3:13.36,,0.86,"43.55,1:31.46,2:22.96"
No.1,女子,200m自由形,2:25.29,2:42.91,65~69歳,2:54.20,3,山﨑京子,セ・横浜,6/7,3:16.58,,0.98,"46.43,1:36.82,2:28.51"
No.1,女子,200m自由形,2:25.29,2:42.91,65~69歳,2:54.20,4,育村博子,セ・おおたか,5/8,3:22.48,,0.86,"47.37,1:38.09,2:31.86"
No.1,女子,200m自由形,2:25.29,2:42.91,65~69歳,2:54.20,5,久松葉子,セ・成瀬,4/4,3:27.53,,1.14,"47.53,1:40.75,2:34.98"
No.1,女子,200m自由形,2:25.29,2:42.91,65~69歳,2:54.20,6,森本美恵,セ・松戸,4/3,3:33.44,,0.92,"48.86,1:42.74,2:40.15"
No.1,女子,200m自由形,2:25.29,2:42.91,65~69歳,2:54.20,7,石河久美子,セ・溝ノ口,4/8,3:34.64,,0.77,"49.71,1:43.64,2:39.75"
No.1,女子,200m自由形,2:25.29,2:42.91,65~69歳,2:54.20,8,臼井希代子,セ・大宮宮原,4/2,3:34.65,,1.03,"47.74,1:41.90,2:39.02"
No.1,女子,200m自由形,2:25.29,2:42.91,65~69歳,2:54.20,9,日和久美子,セ・戸塚,4/10,3:42.07,,0.98,"53.11,1:49.50,2:47.51"
No.1,女子,200m自由形,2:25.29,2:42.91,65~69歳,2:54.20,10,岡田美恵子,セ・溝ノ口,3/3,3:53.14,,0.90,"52.8,1:50.37,2:50.24"
No.1,女子,200m自由形,2:25.29,2:42.91,65~69歳,2:54.20,11,三嶋祐子,セ・阿佐谷,2/6,4:03.71,,0.95,
No.1,女子,200m自由形,2:25.29,2:42.91,65~69歳,2:54.20,12,大西和子,セ・天王洲,1/4,4:37.24,,1.07,"1:02.74,2:12.44,3:26.19"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,1,石井裕美,セ・ときわ台,7/4,2:58.32,,0.76,"40.38,1:26.20,2:14.74"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,2,岡田眞弓,セ・清瀬,4/7,3:06.16,,0.86,"43.07,1:30.79,2:19.74"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,3,伊藤みどり,セ・育見台,6/9,3:11.60,,0.86,"41.89,1:28.98,2:19.61"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,4,高橋久美,セ・市川,6/2,3:15.23,,0.76,"44.14,1:33.49,2:23.43"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,5,草森理子,セ・成城,4/1,3:21.87,,0.75,"45.85,1:38.15,2:31.10"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,6,盛田真規子,セ・二俣川,5/2,3:26.33,,0.75,"46.46,1:39.40,2:34.02"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,7,山中恵子,セ・桶川北本,3/7,3:27.70,,0.99,"45.32,1:38.32,2:34.28"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,8,宮内麻里,曽谷・セ,4/5,3:31.11,,1.07,"52.18,1:46.08,2:40.75"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,9,清水孝子,セ・福生,3/5,3:41.52,,0.92,"49.21,1:43.98,2:43.61"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,10,久保とし子,セ・長津田,2/5,3:46.82,,0.96,"48.02,1:44.90,2:45.59"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,11,宮田ひとみ,セ・阿佐谷,3/10,3:53.39,,0.90,"54.95,1:55.10,2:57.27"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,12,桐沢ひとみ,セ・大森,3/8,3:54.05,,1.53,"52.34,1:52.33,2:54.86"
No.1,女子,200m自由形,2:21.03,2:31.90,60~64歳,2:35.22,13,増子保子,セ・蘇我,2/8,3:54.48,,1.00,"53.39,1:51.27,2:53.37"
No.1,女子,200m自由形,2:16.28,2:26.86,55~59歳,2:31.44,1,年岡仁美,セ・千葉みなと,8/10,2:48.05,,0.83,"38.37,1:21.56,2:05.63"
No.1,女子,200m自由形,2:16.28,2:26.86,55~59歳,2:31.44,2,八尋加苗,セ・松戸,6/6,3:07.55,,0.73,"43.55,1:33.43,2:22.21"
No.1,女子,200m自由形,2:16.28,2:26.86,55~59歳,2:31.44,3,松川律子,セ・二俣川,5/4,3:15.85,,0.89,"41.64,1:30.06,2:24.43"
No.1,女子,200m自由形,2:16.28,2:26.86,55~59歳,2:31.44,4,柳田喜代美,セ・育見台,2/2,3:18.24,,0.95,"45.26,1:34.44,2:26.10"
No.1,女子,200m自由形,2:16.28,2:26.86,55~59歳,2:31.44,5,山口仁子,セ・上池袋,5/6,3:21.43,,,"47.98,1:38.91,2:31.09"
No.1,女子,200m自由形,2:16.28,2:26.86,55~59歳,2:31.44,6,棚橋悦子,セ・自由が丘,4/6,3:25.79,,0.83,"47.74,1:40.30,2:34.81"
No.1,女子,200m自由形,2:16.28,2:26.86,55~59歳,2:31.44,7,森内裕子,セ・天王洲,3/4,3:35.98,,0.97,"49.79,1:45.66,2:42.67"
No.1,女子,200m自由形,2:16.28,2:26.86,55~59歳,2:31.44,8,佐々木タ子,セ・市ヶ尾,2/7,3:55.93,,0.97,"54.66,1:54.94,2:56.27"
No.1,女子,200m自由形,2:13.18,2:21.98,50~54歳,2:27.87,1,工藤遵江,セ・F宇都宮,7/5,2:45.27,,0.75,"38.23,1:20.87,2:05.04"
No.1,女子,200m自由形,2:13.18,2:21.98,50~54歳,2:27.87,2,友田智哲,セ・南青山,7/8,2:52.96,,0.85,"39.17,1:22.14,2:07.90"
No.1,女子,200m自由形,2:13.18,2:21.98,50~54歳,2:27.87,3,菅原幸,セ・トレッサ,7/6,2:59.27,,0.84,"40.75,1:27.13,2:15.02"
No.1,女子,200m自由形,2:13.18,2:21.98,50~54歳,2:27.87,4,柳有美子,セ・おおたか,6/10,3:04.98,,0.85,"43.55,1:31.07,2:19.72"
No.1,女子,200m自由形,2:13.18,2:21.98,50~54歳,2:27.87,5,成島志雅子,セ・F宇都宮,6/1,3:13.76,,0.90,"42.47,1:31.35,2:23.52"
No.1,女子,200m自由形,2:13.18,2:21.98,50~54歳,2:27.87,6,小田桐知子,セ・志木,6/8,3:23.08,,1.04,"46.37,1:37.12,2:30.12"
No.1,女子,200m自由形,2:13.18,2:21.98,50~54歳,2:27.87,7,森信子,セ・大森,3/6,3:38.45,,1.21,"50.19,1:46.03,2:43.50"
No.1,女子,200m自由形,2:10.09,2:17.82,45~49歳,2:31.07,1,高橋麻子,セ・市ヶ尾,7/9,2:55.74,,0.75,"40.11,1:24.61,2:11.20"
No.1,女子,200m自由形,2:10.09,2:17.82,45~49歳,2:31.07,2,草野茜,セ・二俣川,7/7,3:00.08,,0.74,"41.52,1:26.59,2:13.49"
No.1,女子,200m自由形,2:10.09,2:17.82,45~49歳,2:31.07,3,吉池奈々,セ・二俣川,7/10,3:01.30,,0.68,"39.79,1:25.30,2:13.02"
No.1,女子,200m自由形,2:10.09,2:17.82,45~49歳,2:31.07,4,細沼悦子,セ・越谷,6/5,3:07.83,,0.87,"41.49,1:29.93,2:21.56"
No.1,女子,200m自由形,2:10.09,2:17.82,45~49歳,2:31.07,5,前田由希映,セ・二俣川,6/3,3:12.46,,0.83,"43.49,1:33.20,2:23.40"
No.1,女子,200m自由形,2:09.28,2:15.70,40~44歳,2:31.64,1,吉村華余,セ・長津田,8/7,2:31.87,,0.75,"34.54,1:12.60,1:52.57"
No.1,女子,200m自由形,2:09.28,2:15.70,40~44歳,2:31.64,2,錦織佳奈子,ザノス川崎,7/1,3:01.00,,0.95,"39.42,1:23.04,2:11.07"
No.1,女子,200m自由形,2:09.28,2:15.70,40~44歳,2:31.64,3,久保かおり,セ・長津田,6/4,3:11.64,,0.87,"41.71,1:30.18,2:21.93"
No.1,女子,200m自由形,2:09.28,2:15.70,40~44歳,2:31.64,4,四井美穂,セ・天王洲,3/1,3:13.06,,0.81,"46.02,1:35.44,2:25.04"
No.1,女子,200m自由形,2:05.50,2:07.99,35~39歳,2:17.30,1,田中美鈴,セ・武蔵小杉,8/3,2:30.03,,0.76,"34.28,1:12.22,1:51.14"
No.1,女子,200m自由形,2:05.50,2:07.99,35~39歳,2:17.30,2,久保美由紀,セ・長津田,5/7,3:26.32,,0.88,"45.7,1:39.83,2:35.36"
