ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
1,78,1位,二俣川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌﾀﾏﾀｶﾞﾜ,832,0,0,0
2,78,2位,成城,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｾｲｼﾞｮｳ,644,0,0,0
3,78,3位,慶應日吉,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｹｲｵｳﾋﾖｼ,574,0,0,0
4,78,4位,葛西,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｻｲ,571,0,0,0
5,78,5位,長津田みなみ台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅｶﾞﾂﾀﾐﾅﾐﾀﾞｲ,483,0,0,0
6,78,6位,市ヶ尾,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾞｵ,465,0,0,0
7,78,7位,阿佐谷,ﾄｰｱｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｻｶﾞﾔ,419,0,0,0
8,78,8位,天王洲,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾃﾝﾉｳｽﾞ,418,0,0,0
9,78,9位,おおたかの森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾀｶﾉﾓﾘ,406,0,0,0
10,78,10位,大森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾓﾘ,326,0,0,0
11,78,11位,越谷,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｺｼｶﾞﾔ,306,0,0,0
12,78,12位,大宮宮原,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾐﾔﾐﾔﾊﾗ,297,0,0,0
13,78,13位,清瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｷﾖｾ,287,0,0,0
14,78,14位,南千住,ｾ･ｳｪﾙﾈｽｸﾗﾌﾞﾐﾅﾐｾﾝｼﾞｭ,240,0,0,0
15,78,15位,松戸,ﾆｯｾｲｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾏﾂﾄﾞ,223,0,0,0
16,78,16位,市川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾜ,202,0,0,0
17,78,17位,川崎,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞｶﾜｻｷ,184,0,0,0
18,78,18位,上池袋,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶﾐｲｹﾌﾞｸﾛ,174,0,0,0
19,78,19位,我孫子,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｱﾋﾞｺ,172,0,0,0
20,78,20位,用賀,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾖｳｶﾞ,169,0,0,0
21,78,21位,南青山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾐﾅﾐｱｵﾔﾏ,153,0,0,0
22,78,22位,成瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅﾙｾ,148,0,0,0
23,78,23位,志木,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｼｷ,142,0,0,0
24,78,24位,袖ヶ浦駅前,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｿﾃﾞｶﾞｳﾗｴｷﾏｴ,127,0,0,0
25,78,25位,八王子,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾊﾁｵｳｼﾞ,122,0,0,0
26,78,26位,柏,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｼﾜ,121,0,0,0
27,78,27位,金沢八景,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞｶﾅｻﾞﾜﾊｯｹｲ,120,0,0,0
28,78,28位,茂原,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾓﾊﾞﾗ,116,0,0,0
29,78,29位,谷津,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾔﾂ,113,0,0,0
30,78,30位,流山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾅｶﾞﾚﾔﾏ,110,0,0,0
31,78,30位,横浜,ｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞﾖｺﾊﾏ,110,0,0,0
32,78,32位,桶川北本,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｹｶﾞﾜｷﾀﾓﾄ,103,0,0,0
33,78,33位,蒲田,ﾗｳﾞｨｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｶﾏﾀ,102,0,0,0
34,78,34位,平塚,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾋﾗﾂｶ,95,0,0,0
35,78,35位,武蔵小杉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾑｻｼｺｽｷﾞ,87,0,0,0
36,78,36位,湘南台,ｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞｼｮｳﾅﾝﾀﾞｲ,75,0,0,0
37,78,37位,能見台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾉｳｹﾝﾀﾞｲ,67,0,0,0
38,78,38位,さいたま新都心,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｻｲﾀﾏｼﾝﾄｼﾝ,63,0,0,0
