relay_key,swim_order,athlete_name,dive_time,split_display,split_seconds,is_record
78_3_320～359歳_天王洲_1,1,鬼束洋子,0.99,50.47,50.47,False
78_3_320～359歳_天王洲_1,2,川端淑子,0.71,1:01.32,61.32,False
78_3_320～359歳_天王洲_1,3,熊谷一枝,0.76,58.14,58.14,False
78_3_320～359歳_天王洲_1,4,平田美佐子,0.53,1:00.57,60.57,False
78_3_280～319歳_大森_1,1,立石由美子,0.69,38.91,38.91,False
78_3_280～319歳_大森_1,2,市野克子,0.31,42.05,42.05,False
78_3_280～319歳_大森_1,3,室谷晴江,0.81,44.69,44.69,False
78_3_280～319歳_大森_1,4,井上美佐子,0.43,40.71,40.71,False
78_3_280～319歳_天王洲_2,1,小宮山美芽,0.98,49.83,49.83,False
78_3_280～319歳_天王洲_2,2,梅田栄己子,0.54,42.80,42.8,False
78_3_280～319歳_天王洲_2,3,後藤明美,0.49,40.26,40.26,False
78_3_280～319歳_天王洲_2,4,浅野みどり,0.4,39.20,39.2,False
78_3_280～319歳_柏_3,1,柴崎徳子,0.98,44.67,44.67,False
78_3_280～319歳_柏_3,2,木澤晃子,,45.22,45.22,False
78_3_280～319歳_柏_3,3,長野愛子,,47.98,47.98,False
78_3_280～319歳_柏_3,4,浅浦礼子,0.48,42.17,42.17,False
78_3_280～319歳_用賀_4,1,内田良子,0.87,47.91,47.91,False
78_3_280～319歳_用賀_4,2,舘野圭子,0.38,55.43,55.43,False
78_3_280～319歳_用賀_4,3,佐藤由利子,0.23,44.99,44.99,False
78_3_280～319歳_用賀_4,4,埵井泰子,0.29,41.26,41.26,False
78_3_280～319歳_戸塚_5,1,日和久美子,1.01,47.43,47.43,False
78_3_280～319歳_戸塚_5,2,太田拓江,0.97,49.57,49.57,False
78_3_280～319歳_戸塚_5,3,福田加代子,0.47,51.24,51.24,False
78_3_280～319歳_戸塚_5,4,酒谷真砂子,0.68,47.09,47.09,False
78_3_280～319歳_慶應日吉_6,1,池淵玲子,0.81,57.29,57.29,False
78_3_280～319歳_慶應日吉_6,2,田野倉和子,0.85,53.96,53.96,False
78_3_280～319歳_慶應日吉_6,3,戸倉陽子,0.33,49.41,49.41,False
78_3_280～319歳_慶應日吉_6,4,中野朗子,0.61,44.08,44.08,False
78_3_280～319歳_天王洲_7,1,長谷川節子,0.85,55.66,55.66,False
78_3_280～319歳_天王洲_7,2,川島かよ子,,50.92,50.92,False
78_3_280～319歳_天王洲_7,3,寺西寿賀子,,57.08,57.08,False
78_3_280～319歳_天王洲_7,4,柴田千代子,,57.26,57.26,False
78_3_240～279歳_二俣川_1,1,武井麻知子,0.78,36.64,36.64,False
78_3_240～279歳_二俣川_1,2,近藤ひな子,0.37,37.65,37.65,False
78_3_240～279歳_二俣川_1,3,野島久枝,0.56,38.18,38.18,False
78_3_240～279歳_二俣川_1,4,永瀬秀子,0.23,32.45,32.45,False
78_3_240～279歳_成城_2,1,仲田久美子,0.72,34.38,34.38,False
78_3_240～279歳_成城_2,2,草森理子,0.24,41.64,41.64,False
78_3_240～279歳_成城_2,3,伊藤ゆかり,0.42,39.14,39.14,False
78_3_240～279歳_成城_2,4,高梨美樹,0.38,38.16,38.16,False
78_3_240～279歳_おおたか_3,1,五十嵐知佐,0.83,35.91,35.91,False
78_3_240～279歳_おおたか_3,2,育村博子,0.67,43.18,43.18,False
78_3_240～279歳_おおたか_3,3,倉林明子,0.78,41.58,41.58,False
78_3_240～279歳_おおたか_3,4,野崎由美子,0.6,39.03,39.03,False
78_3_240～279歳_川崎_4,1,中山翠,0.85,38.12,38.12,False
78_3_240～279歳_川崎_4,2,齊藤たか子,0.62,43.09,43.09,False
78_3_240～279歳_川崎_4,3,伊藤春美,0.8,44.73,44.73,False
78_3_240～279歳_川崎_4,4,川久保ちづる,0.11,38.89,38.89,False
78_3_240～279歳_おおたか_5,1,大石里佳,0.88,36.83,36.83,False
78_3_240～279歳_おおたか_5,2,高木保子,0.7,45.03,45.03,False
78_3_240～279歳_おおたか_5,3,佐藤晶子,0.57,42.63,42.63,False
78_3_240～279歳_おおたか_5,4,岡村悦子,0.96,41.63,41.63,False
78_3_240～279歳_慶應日吉_6,1,井手敦子,0.97,42.09,42.09,False
78_3_240～279歳_慶應日吉_6,2,山田智子,0.46,43.34,43.34,False
78_3_240～279歳_慶應日吉_6,3,原田由美子,0.68,47.78,47.78,False
78_3_240～279歳_慶應日吉_6,4,福本麻美,0.72,35.85,35.85,False
78_3_240～279歳_南千住_7,1,古宇田淳子,0.83,45.10,45.1,False
78_3_240～279歳_南千住_7,2,于亜芝,0.59,55.20,55.2,False
78_3_240～279歳_南千住_7,3,片桐万澄,0.59,47.27,47.27,False
78_3_240～279歳_南千住_7,4,町田麻里,0.23,38.11,38.11,False
78_3_240～279歳_大森_8,1,佐々木政子,0.95,49.82,49.82,False
78_3_240～279歳_大森_8,2,中島初美,0.58,52.16,52.16,False
78_3_240～279歳_大森_8,3,富樫博子,,56.21,56.21,False
78_3_240～279歳_大森_8,4,酒井貴代,0.61,39.77,39.77,False
78_3_240～279歳_流山_9,1,三木純子,0.79,50.52,50.52,False
78_3_240～279歳_流山_9,2,新井瑞枝,0.62,52.59,52.59,False
78_3_240～279歳_流山_9,3,菊池佐千代,0.54,54.82,54.82,False
78_3_240～279歳_流山_9,4,小笠原京子,0.72,47.76,47.76,False
78_3_200～239歳_慶應日吉_1,1,井上唯,0.77,36.89,36.89,False
78_3_200～239歳_慶應日吉_1,2,前畑章子,0.4,33.60,33.6,False
78_3_200～239歳_慶應日吉_1,3,森谷登志江,0.52,39.15,39.15,False
78_3_200～239歳_慶應日吉_1,4,上沢絵里奈,0.27,30.93,30.93,False
78_3_200～239歳_市川_2,1,新井亜衣,0.77,30.38,30.38,False
78_3_200～239歳_市川_2,2,小高麻衣子,0.65,39.12,39.12,False
78_3_200～239歳_市川_2,3,高橋久美,0.44,38.17,38.17,False
78_3_200～239歳_市川_2,4,石井菜穂美,0.59,37.40,37.4,False
78_3_200～239歳_八景_3,1,真栄田こずえ,0.78,33.65,33.65,False
78_3_200～239歳_八景_3,2,座間千鶴子,0.57,42.21,42.21,False
78_3_200～239歳_八景_3,3,野村洋子,0.42,36.41,36.41,False
78_3_200～239歳_八景_3,4,鶴岡美佐,0.22,35.53,35.53,False
78_3_200～239歳_二俣川_4,1,川村佳代子,0.92,36.52,36.52,False
78_3_200～239歳_二俣川_4,2,板谷仁恵,0.46,40.36,40.36,False
78_3_200～239歳_二俣川_4,3,松川律子,0.67,36.51,36.51,False
78_3_200～239歳_二俣川_4,4,阿部のぞみ,0.87,39.63,39.63,False
78_3_200～239歳_清瀬_5,1,大橋ほづ美,0.85,35.79,35.79,False
78_3_200～239歳_清瀬_5,2,小笠原暁子,0.58,42.26,42.26,False
78_3_200～239歳_清瀬_5,3,レントフェルト慶子,0.96,41.04,41.04,False
78_3_200～239歳_清瀬_5,4,大槻真由美,0.53,36.40,36.4,False
78_3_200～239歳_志木_6,1,赤坂惠美子,0.87,44.87,44.87,False
78_3_200～239歳_志木_6,2,石塚孝子,0.23,42.79,42.79,False
78_3_200～239歳_志木_6,3,佐々木れい,,45.06,45.06,False
78_3_200～239歳_志木_6,4,高橋真美,0.19,34.87,34.87,False
78_3_200～239歳_横浜_7,1,大野結実,0.96,38.36,38.36,False
78_3_200～239歳_横浜_7,2,植草美香子,0.6,56.18,56.18,False
78_3_200～239歳_横浜_7,3,佐藤桂子,0.55,37.69,37.69,False
78_3_200～239歳_横浜_7,4,山﨑京子,0.62,38.49,38.49,False
78_3_160～199歳_成城_1,1,仲田笑美,0.74,30.55,30.55,False
78_3_160～199歳_成城_1,2,佐藤洋子,0.42,35.79,35.79,False
78_3_160～199歳_成城_1,3,岩田愛恵,0.32,34.13,34.13,False
78_3_160～199歳_成城_1,4,中畑眸,0.33,31.23,31.23,False
78_3_160～199歳_葛西_2,1,永田加那子,0.77,31.12,31.12,False
78_3_160～199歳_葛西_2,2,羽山恵津子,0.4,34.50,34.5,False
78_3_160～199歳_葛西_2,3,溝井花代子,0.39,35.65,35.65,False
78_3_160～199歳_葛西_2,4,大椛詩織,0.21,31.12,31.12,False
78_3_160～199歳_市ヶ尾_3,1,池田百合子,0.69,30.65,30.65,False
78_3_160～199歳_市ヶ尾_3,2,高橋麻子,0.17,34.12,34.12,False
78_3_160～199歳_市ヶ尾_3,3,白須靖子,0.17,37.00,37.0,False
78_3_160～199歳_市ヶ尾_3,4,宮下泰子,0.42,31.16,31.16,False
78_3_160～199歳_二俣川_4,1,吉池奈々,0.69,36.15,36.15,False
78_3_160～199歳_二俣川_4,2,前田由希映,0.37,35.97,35.97,False
78_3_160～199歳_二俣川_4,3,草野茜,0.25,34.15,34.15,False
78_3_160～199歳_二俣川_4,4,竹下菜々美,0.32,30.10,30.1,False
78_3_160～199歳_天王洲_5,1,萩原ゆりか,0.91,35.41,35.41,False
78_3_160～199歳_天王洲_5,2,中辻澄美,0.65,37.51,37.51,False
78_3_160～199歳_天王洲_5,3,宇田川美穂,0.41,37.44,37.44,False
78_3_160～199歳_天王洲_5,4,四井美穂,0.41,34.27,34.27,False
78_3_160～199歳_南青山_6,1,國政玲,0.79,40.52,40.52,False
78_3_160～199歳_南青山_6,2,北原暁美,0.47,41.76,41.76,False
78_3_160～199歳_南青山_6,3,芳賀加代子,0.32,35.93,35.93,False
78_3_160～199歳_南青山_6,4,竹山睦月,0.44,30.34,30.34,False
78_3_160～199歳_南青山_6,1,佐々木美佐,0.78,33.29,33.29,False
78_3_160～199歳_南青山_6,2,比留川美緒,0.37,37.37,37.37,False
78_3_160～199歳_南青山_6,3,木田景子,,,,False
78_3_160～199歳_南青山_6,4,足立知実,,,,False
78_3_120～159歳_長津田_1,1,吉村華余,0.77,31.28,31.28,False
78_3_120～159歳_長津田_1,2,小澤有未,0.33,30.78,30.78,False
78_3_120～159歳_長津田_1,3,森谷麻貴,0.28,33.38,33.38,False
78_3_120～159歳_長津田_1,4,川北恵,0.43,30.06,30.06,False
78_3_72～119歳_蒲田_1,1,宮澤緋花留,0.69,30.43,30.43,False
78_3_72～119歳_蒲田_1,2,池田良子,0.41,32.61,32.61,False
78_3_72～119歳_蒲田_1,3,青木奈那美,0.41,30.27,30.27,False
78_3_72～119歳_蒲田_1,4,早川舞,0.17,29.19,29.19,False
78_4_280～319歳_成城_1,1,羽田浩一,0.68,31.07,31.07,False
78_4_280～319歳_成城_1,2,木津誠,0.72,35.75,35.75,False
78_4_280～319歳_成城_1,3,若宮強,0.52,36.72,36.72,False
78_4_280～319歳_成城_1,4,中田正二,0.51,39.36,39.36,False
78_4_240～279歳_二俣川_1,1,冨松実,0.73,31.89,31.89,False
78_4_240～279歳_二俣川_1,2,若島健二,0.55,34.86,34.86,False
78_4_240～279歳_二俣川_1,3,永瀬知之,0.37,26.84,26.84,False
78_4_240～279歳_二俣川_1,4,下家成人,0.26,30.54,30.54,False
78_4_240～279歳_市ヶ尾_2,1,菊池千二,0.75,30.03,30.03,False
78_4_240～279歳_市ヶ尾_2,2,神尾尚人,0.36,31.79,31.79,False
78_4_240～279歳_市ヶ尾_2,3,大滝恭伸,0.7,34.89,34.89,False
78_4_240～279歳_市ヶ尾_2,4,新井良育,0.24,30.92,30.92,False
78_4_240～279歳_用賀_3,1,吉峯幸郎,0.85,35.34,35.34,False
78_4_240～279歳_用賀_3,2,佐藤正章,0.16,32.13,32.13,False
78_4_240～279歳_用賀_3,3,飯田正敏,0.39,33.19,33.19,False
78_4_240～279歳_用賀_3,4,和田浩一,0.22,30.01,30.01,False
78_4_240～279歳_長津田_4,1,金子謙一,0.8,34.87,34.87,False
78_4_240～279歳_長津田_4,2,西森文史郎,0.41,40.02,40.02,False
78_4_240～279歳_長津田_4,3,池谷千尋,0.34,32.62,32.62,False
78_4_240～279歳_長津田_4,4,西野宮冬木,0.35,30.64,30.64,False
78_4_240～279歳_阿佐谷_5,1,吉村進,0.77,36.19,36.19,False
78_4_240～279歳_阿佐谷_5,2,折居彰,0.93,40.46,40.46,False
78_4_240～279歳_阿佐谷_5,3,大川明徳,0.66,35.59,35.59,False
78_4_240～279歳_阿佐谷_5,4,紺野忠大,0.49,34.63,34.63,False
78_4_240～279歳_慶應日吉_6,1,山本勝,0.84,40.46,40.46,False
78_4_240～279歳_慶應日吉_6,2,長野守,0.81,38.53,38.53,False
78_4_240～279歳_慶應日吉_6,3,岩田寛,0.54,32.37,32.37,False
78_4_240～279歳_慶應日吉_6,4,久保田裕一,0.5,37.23,37.23,False
78_4_200～239歳_二俣川_1,1,堀川広祐,0.68,30.17,30.17,False
78_4_200～239歳_二俣川_1,2,関口義和,0.22,29.84,29.84,False
78_4_200～239歳_二俣川_1,3,石上智啓,0.15,28.44,28.44,False
78_4_200～239歳_二俣川_1,4,大村俊文,0.03,26.54,26.54,False
78_4_200～239歳_葛西_2,1,宮木幸彦,0.77,30.91,30.91,False
78_4_200～239歳_葛西_2,2,原田真,0.42,30.69,30.69,False
78_4_200～239歳_葛西_2,3,弭間政隆,0.36,29.48,29.48,False
78_4_200～239歳_葛西_2,4,青木圭祐,0.33,24.56,24.56,False
78_4_200～239歳_おおたか_3,1,會田修一,0.91,33.03,33.03,False
78_4_200～239歳_おおたか_3,2,海辺信吉,0.59,30.99,30.99,False
78_4_200～239歳_おおたか_3,3,小山邦彦,0.69,33.15,33.15,False
78_4_200～239歳_おおたか_3,4,前田光輝,0.42,31.08,31.08,False
78_4_200～239歳_慶應日吉_4,1,田中遼太,0.72,32.45,32.45,False
78_4_200～239歳_慶應日吉_4,2,穴田啓樹,0.59,33.74,33.74,False
78_4_200～239歳_慶應日吉_4,3,大塚秀幸,0.66,37.90,37.9,False
78_4_200～239歳_慶應日吉_4,4,門倉孝行,0.62,29.60,29.6,False
78_4_200～239歳_長津田_5,1,竹下翔,0.65,30.25,30.25,False
78_4_200～239歳_長津田_5,2,祖川久茂,0.31,33.05,33.05,False
78_4_200～239歳_長津田_5,3,宮本昌雄,0.11,32.44,32.44,False
78_4_200～239歳_長津田_5,4,飯沼明,0.53,39.43,39.43,False
78_4_200～239歳_天王洲_6,1,寺田遼太,0.9,28.72,28.72,False
78_4_200～239歳_天王洲_6,2,佐藤流生,0.76,43.19,43.19,False
78_4_200～239歳_天王洲_6,3,日暮正明,0.4,35.79,35.79,False
78_4_200～239歳_天王洲_6,4,千葉忠英,0.64,32.38,32.38,False
78_4_200～239歳_茂原_7,1,萱沼憲司郎,0.92,38.14,38.14,False
