round,pool_type,rank,team_name,furigana,total_points,male_points,female_points,mixed_points
78,長水路,1,セントラルフィットネスクラブ二俣川,セントラルフィットネスクラブフタマタガワ,832.0,0,0,0
78,長水路,2,セントラルウェルネスクラブ成城,セントラルウェルネスクラブセイジョウ,644.0,0,0,0
78,長水路,3,セントラルウェルネスクラブ慶應日吉,セントラルウェルネスクラブケイオウヒヨシ,574.0,0,0,0
78,長水路,4,セントラルウェルネスクラブ葛西,セントラルウェルネスクラブカサイ,571.0,0,0,0
78,長水路,5,セントラルウェルネスクラブ長津田みなみ台,セントラルウェルネスクラブナガツタミナミダイ,483.0,0,0,0
78,長水路,6,セントラルフィットネスクラブ市ヶ尾,セントラルフィットネスクラブイチガオ,465.0,0,0,0
78,長水路,7,トーアセントラルフィットネスクラブ阿佐谷,トーアセントラルフィットネスクラブアサガヤ,419.0,0,0,0
78,長水路,8,セントラルフィットネスクラブ天王洲,セントラルフィットネスクラブテンノウズ,418.0,0,0,0
78,長水路,9,セントラルウェルネスクラブおおたかの森,セントラルウェルネスクラブオオタカノモリ,406.0,0,0,0
78,長水路,10,セントラルウェルネスクラブ大森,セントラルウェルネスクラブオオモリ,326.0,0,0,0
78,長水路,11,セントラルウェルネスクラブ越谷,セントラルウェルネスクラブコシガヤ,306.0,0,0,0
78,長水路,12,セントラルウェルネスクラブ大宮宮原,セントラルウェルネスクラブオオミヤミヤハラ,297.0,0,0,0
78,長水路,13,セントラルウェルネスクラブ清瀬,セントラルウェルネスクラブキヨセ,287.0,0,0,0
78,長水路,14,セントラルウェルネスクラブ南千住,セ・ウェルネルクラブミナミセンジュ,240.0,0,0,0
78,長水路,15,ニッセイセントラルフィットネスクラブ松戸,ニッセイセントラルフィットネスクラブマツド,223.0,0,0,0
78,長水路,16,セントラルフィットネスクラブ市川,セントラルフィットネスクラブイチカワ,202.0,0,0,0
78,長水路,17,ザバススポーツクラブ川崎,ザバススポーツクラブカワサキ,184.0,0,0,0
78,長水路,18,セントラルウェルネスクラブ上池袋,セントラルウェルネスクラブカミイケブクロ,174.0,0,0,0
78,長水路,19,セントラルウェルネスクラブ我孫子,セントラルウェルネスクラブアビコ,172.0,0,0,0
78,長水路,20,セントラルフィットネスクラブ用賀,セントラルフィットネスクラブヨウガ,169.0,0,0,0
78,長水路,21,セントラルフィットネスクラブ南青山,セントラルフィットネスクラブミナミアオヤマ,153.0,0,0,0
78,長水路,22,セントラルウェルネスクラブ成瀬,セントラルウェルネスクラブナルセ,148.0,0,0,0
78,長水路,23,セントラルウェルネスクラブ志木,セントラルウェルネスクラブシキ,142.0,0,0,0
78,長水路,24,セントラルフィットネスクラブ24袖ヶ浦駅前,セントラルフィットネスクラブソデガウラエキマエ,127.0,0,0,0
78,長水路,25,セントラルフィットネスクラブ八王子,セントラルフィットネスクラブハチオウジ,122.0,0,0,0
78,長水路,26,セントラルウェルネスクラブ柏,セントラルウェルネスクラブカシワ,121.0,0,0,0
78,長水路,27,ザバススポーツクラブ金沢八景,ザバススポーツクラブカナザワハッケイ,120.0,0,0,0
78,長水路,28,セントラルフィットネスクラブ茂原,セントラルフィットネスクラブモバラ,116.0,0,0,0
78,長水路,29,セントラルフィットネスクラブ谷津,セントラルフィットネスクラブヤツ,113.0,0,0,0
78,長水路,30,セントラルフィットネスクラブ流山,セントラルフィットネスクラブナガレヤマ,110.0,0,0,0
78,長水路,30,セントラルスイムクラブ横浜,セントラルスイムクラブヨコハマ,110.0,0,0,0
78,長水路,32,セントラルウェルネスクラブ桶川北本,セントラルウェルネスクラブオケガワキタモト,103.0,0,0,0
78,長水路,33,ラヴィセントラルフィットネスクラブ蒲田,ラヴィセントラルフィットネスクラブカマタ,102.0,0,0,0
78,長水路,34,セントラルフィットネスクラブ平塚,セントラルフィットネスクラブヒラツカ,95.0,0,0,0
78,長水路,35,セントラルフィットネスクラブ武蔵小杉,セントラルフィットネスクラブムサシコスギ,87.0,0,0,0
78,長水路,36,セントラルスイムクラブ湘南台,セントラルスイムクラブショウナンダイ,75.0,0,0,0
78,長水路,37,セントラルウェルネスクラブ能見台,セントラルウェルネスクラブノウケンダイ,67.0,0,0,0
78,長水路,38,セントラルウェルネスクラブさいたま新都心,セントラルウェルネスクラブサイタマシントシン,63.0,0,0,0
78,長水路,38,セントラルフィットネスクラブ藤沢,セントラルフィットネスクラブフジサワ,63.0,0,0,0
78,長水路,40,セントラルウェルネスクラブときわ台,セントラルウェルネスクラブトキワダイ,62.0,0,0,0
78,長水路,40,セントラルウェルネスクラブトレッサ(大倉山),セントラルウェルネスクラブトレッサオオクラヤマ,62.0,0,0,0
78,長水路,42,セントラルフィットネスクラブ自由が丘,セントラルフィットネスクラブジユウガオカ,59.0,0,0,0
78,長水路,43,セントラルスポーツクラブ館山,セントラルスポーツクラブタテヤマ,54.0,0,0,0
78,長水路,44,セントラルスポーツクラブ戸塚,セントラルスポーツクラブトツカ,51.0,0,0,0
78,長水路,45,セントラルスポーツクラブ東戸塚,セントラルスポーツクラブヒガシトツカ,50.0,0,0,0
78,長水路,46,セントラルウェルネスクラブ西新井,セントラルウェルネスクラブニシアライ,48.0,0,0,0
78,長水路,46,ザバススポーツクラブ鶴見,ザバススポーツクラブツルミ,48.0,0,0,0
78,長水路,48,セントラルフィットネスクラブ府中,セントラルフィットネスクラブフチュウ,47.0,0,0,0
78,長水路,48,セントラルフィットネスクラブ目黒,セントラルフィットネスクラブメグロ,47.0,0,0,0
78,長水路,50,セントラルスポーツクリーンスパイチカワ,セントラルスポーツクリーンスパイチカワ,46.0,0,0,0
78,長水路,51,セントラルスポーツクラブ南宇都宮,セントラルスポーツクラブミナミウツノミヤ,45.0,0,0,0
78,長水路,51,ゴールデンスパ・ニューオータニ,ゴールデンスパニューオータニ,45.0,0,0,0
78,長水路,53,セントラルウェルネスクラブ福島,セントラルウェルネスクラブフクシマ,40.0,0,0,0
78,長水路,54,セントラルスポーツフッサ,セントラルスポーツフッサ,39.0,0,0,0
78,長水路,55,セントラルフィットネスクラブ稲毛海岸,セントラルフィットネスクラブイナゲカイガン,36.0,0,0,0
78,長水路,56,墨田区総合体育館,スミダクソウゴウタイイクカン,33.0,0,0,0
78,長水路,57,セントラルフィットネスクラブ新川崎,セントラルフィットネスクラブシンカワサキ,28.0,0,0,0
78,長水路,58,曽谷セントラルスイムクラブ,ソヤセントラルスイムクラブ,27.0,0,0,0
78,長水路,58,セントラルスイムクラブ川越,セントラルスイムクラブカワゴエ,27.0,0,0,0
78,長水路,58,セントラルフィットネスクラブ東戸塚,セントラルフィットネスクラブヒガシトツカ,27.0,0,0,0
78,長水路,61,セントラルフィットネスクラブ西東京,セントラルフィットネスクラブニシトウキョウ,26.0,0,0,0
78,長水路,62,セントラルフィットネスクラブ下北沢,セントラルフィットネスクラブシモキタザワ,21.0,0,0,0
78,長水路,63,セントラルフィットネスクラブ宇都宮,セントラルフィットネスクラブウツノミヤ,19.0,0,0,0
78,長水路,64,セントラルスポーツクラブ岩槻,セントラルスポーツクラブイワツキ,12.0,0,0,0
78,長水路,64,セントラルウェルネスクラブ24久喜,セントラルウェルネスクラブニジュウヨンクキ,12.0,0,0,0
78,長水路,64,セントラルフィットネスクラブ青砥,セントラルフィットネスクラブアオト,12.0,0,0,0
78,長水路,64,ザバススポーツクラブ藤が丘,ザバススポーツクラブフジガオカ,12.0,0,0,0
78,長水路,68,セントラルウェルネスクラブ東十条,セントラルウェルネスクラブヒガシジュウジョウ,11.0,0,0,0
78,長水路,69,セントラルフィットネスクラブ溝ノ口,セントラルフィットネスクラブミゾノクチ,10.0,0,0,0
78,長水路,70,セントラルフィットネスクラブ越谷レイクタウン,セントラルフィットネスクラブコシガヤレイクタウン,7.0,0,0,0
78,長水路,71,セントラルウェルネスクラブ高崎,セントラルウェルネスクラブタカサキ,6.0,0,0,0
78,長水路,71,セントラルスポーツクラブ宇都宮,セントラルスポーツクラブウツノミヤ,6.0,0,0,0
78,長水路,73,セントラルフィットネスクラブ亀有,セントラルフィットネスクラブカメアリ,4.0,0,0,0
