種別,No,種目,年齢区分,順位,氏名_チーム名,所属_合計年齢,水路,時間,備考,メンバー1,メンバー2,メンバー3,メンバー4
総合,,総合成績,,1,セントラルフィットネスクラブ二俣川,832.0点,,,,,,,
総合,,総合成績,,2,セントラルウェルネスクラブ成城,644.0点,,,,,,,
総合,,総合成績,,3,セントラルウェルネスクラブ慶應日吉,574.0点,,,,,,,
総合,,総合成績,,4,セントラルウェルネスクラブ葛西,571.0点,,,,,,,
総合,,総合成績,,5,セントラルウェルネスクラブ長津田みなみ台,483.0点,,,,,,,
総合,,総合成績,,6,セントラルフィットネスクラブ市ヶ尾,465.0点,,,,,,,
総合,,総合成績,,7,トーアセントラルフィットネスクラブ阿佐谷,419.0点,,,,,,,
総合,,総合成績,,8,セントラルフィットネスクラブ天王洲,418.0点,,,,,,,
総合,,総合成績,,9,セントラルウェルネスクラブおおたかの森,406.0点,,,,,,,
総合,,総合成績,,10,セントラルウェルネスクラブ大森,326.0点,,,,,,,
総合,,総合成績,,11,セントラルウェルネスクラブ越谷,306.0点,,,,,,,
総合,,総合成績,,12,セントラルウェルネスクラブ大宮宮原,297.0点,,,,,,,
総合,,総合成績,,13,セントラルウェルネスクラブ清瀬,287.0点,,,,,,,
総合,,総合成績,,14,セントラルウェルネスクラブ南千住,240.0点,,,,,,,
総合,,総合成績,,15,ニッセイセントラルフィットネスクラブ松戸,223.0点,,,,,,,
総合,,総合成績,,16,セントラルフィットネスクラブ市川,202.0点,,,,,,,
総合,,総合成績,,17,ザバススポーツクラブ川崎,184.0点,,,,,,,
総合,,総合成績,,18,セントラルウェルネスクラブ上池袋,174.0点,,,,,,,
総合,,総合成績,,19,セントラルウェルネスクラブ我孫子,172.0点,,,,,,,
総合,,総合成績,,20,セントラルフィットネスクラブ用賀,169.0点,,,,,,,
総合,,総合成績,,21,セントラルフィットネスクラブ南青山,153.0点,,,,,,,
総合,,総合成績,,22,セントラルウェルネスクラブ成瀬,148.0点,,,,,,,
総合,,総合成績,,23,セントラルウェルネスクラブ志木,142.0点,,,,,,,
総合,,総合成績,,24,セントラルフィットネスクラブ24袖ケ浦駅前,127.0点,,,,,,,
総合,,総合成績,,25,セントラルフィットネスクラブ八王子,122.0点,,,,,,,
総合,,総合成績,,26,セントラルウェルネスクラブ柏,121.0点,,,,,,,
総合,,総合成績,,27,ザバススポーツクラブ金沢八景,120.0点,,,,,,,
総合,,総合成績,,28,セントラルフィットネスクラブ茂原,116.0点,,,,,,,
総合,,総合成績,,29,セントラルフィットネスクラブ谷津,113.0点,,,,,,,
総合,,総合成績,,30,セントラルフィットネスクラブ流山,110.0点,,,,,,,
総合,,総合成績,,30,セントラルスイムクラブ横浜,110.0点,,,,,,,
総合,,総合成績,,32,セントラルウェルネスクラブ桶川北本,103.0点,,,,,,,
総合,,総合成績,,33,ラヴィセントラルフィットネスクラブ蒲田,102.0点,,,,,,,
総合,,総合成績,,34,セントラルフィットネスクラブ平塚,95.0点,,,,,,,
総合,,総合成績,,35,セントラルフィットネスクラブ武蔵小杉,87.0点,,,,,,,
総合,,総合成績,,36,セントラルスイムクラブ湘南台,75.0点,,,,,,,
総合,,総合成績,,37,セントラルウェルネスクラブ能見台,67.0点,,,,,,,
総合,,総合成績,,38,セントラルウェルネスクラブさいたま新都心,63.0点,,,,,,,
総合,,総合成績,,38,セントラルフィットネスクラブ藤沢,63.0点,,,,,,,
総合,,総合成績,,40,セントラルウェルネスクラブときわ台,62.0点,,,,,,,
総合,,総合成績,,40,セントラルウェルネスクラブトレッサ(大倉山),62.0点,,,,,,,
総合,,総合成績,,42,セントラルフィットネスクラブ自由が丘,59.0点,,,,,,,
総合,,総合成績,,43,セントラルスポーツクラブ館山,54.0点,,,,,,,
総合,,総合成績,,44,セントラルスポーツクラブ戸塚,51.0点,,,,,,,
総合,,総合成績,,45,セントラルスポーツクラブ東戸塚,50.0点,,,,,,,
総合,,総合成績,,46,セントラルウェルネスクラブ西新井,48.0点,,,,,,,
総合,,総合成績,,46,ザバススポーツクラブ鶴見,48.0点,,,,,,,
総合,,総合成績,,48,セントラルフィットネスクラブ府中,47.0点,,,,,,,
総合,,総合成績,,48,セントラルフィットネスクラブ目黒,47.0点,,,,,,,
総合,,総合成績,,50,セントラルスポーツクリーンスパイチカワ,46.0点,,,,,,,
総合,,総合成績,,51,セントラルスポーツクラブ南宇都宮,45.0点,,,,,,,
総合,,総合成績,,51,ゴールデンスパ・ニューオータニ,45.0点,,,,,,,
総合,,総合成績,,53,セントラルウェルネスクラブ福島,40.0点,,,,,,,
総合,,総合成績,,54,セントラルスポーツフッサ,39.0点,,,,,,,
総合,,総合成績,,55,セントラルフィットネスクラブ稲毛海岸,36.0点,,,,,,,
総合,,総合成績,,56,墨田区総合体育館,33.0点,,,,,,,
総合,,総合成績,,57,セントラルフィットネスクラブ新川崎,28.0点,,,,,,,
総合,,総合成績,,58,曽谷セントラルスイムクラブ,27.0点,,,,,,,
総合,,総合成績,,58,セントラルスイムクラブ川越,27.0点,,,,,,,
総合,,総合成績,,58,セントラルフィットネスクラブ東戸塚,27.0点,,,,,,,
総合,,総合成績,,61,セントラルフィットネスクラブ西東京,26.0点,,,,,,,
