レース番号,競技性別,競技名,世界記録,日本記録,年齢区分,大会記録,順位,氏名,所属,水路,時間,飛込タイム,LAPタイム
No.1,,,,,,,1,森川タェ子,,,,・我孫子,1:08.41
No.1,,,,,,,2,熊谷一枝,,,,・天王洲,1:04.16
No.1,,,,,,,1,佐由利子,,,,・用賀,52.36
No.1,,,,,,,2,内田良子,,,,・用賀,53.55
No.1,,,,,,,3,安澤イソ子,,,,・市ヶ尾,55.93
No.1,,,,,,,1,柴崎徳子,,,,・柏,51.45
No.1,,,,,,,2,竹原君枝,,,,・慶應日吉,53.31
No.1,,,,,,,3,松木弘美,,,,・志木,56.41
No.1,,,,,,,4,馬場悦子,,,,・清瀬,57.03
No.1,,,,,,,1,菅野泰子,,,,・葛西,42.25
No.1,,,,,,,2,青木華世子,,,,・松戸,42.47
No.1,,,,,,,3,中平信子,,,,・成瀬,45.05
No.1,,,,,,,4,青砥美智子,,,,・葛西,50.02
No.1,,,,,,,5,岡村悦子,,,,・おおたか,49.77
No.1,,,,,,,6,菅和江,,,,・戸塚,53.73
No.1,,,,,,,7,太田拓江,,,,・戸塚,52.15
No.1,,,,,,,8,長野愛子,,,,・柏,55.35
No.1,,,,,,,9,菅井道子,,,,・戸塚,59.07
No.1,,,,,,,10,富博子,,,,・大森,54.94
No.1,,,,,,,1,森谷登志江,慶應日吉,6/10,3:14.53,0.90,42.42
No.1,,,,,,,2,山﨑京子,,,,・横浜,43.06
No.1,,,,,,,3,久松葉子,,,,・成瀬,48.54
No.1,,,,,,,4,森本美恵,,,,・松戸,50.03
No.1,,,,,,,5,五月女美幸,,,,・宇都宮,47.71
No.1,,,,,,,6,日和久美子,,,,・戸塚,52.12
No.1,,,,,,,7,久保とし子,,,,・長津田,50.90
No.1,,,,,,,8,下川喜美枝,,,,・南千住,53.75
No.1,,,,,,,9,三嶋祐子,阿佐谷,2/10,4:02.93,0.86,56.04
No.1,,,,,,,10,大西和子,,,,・天王洲,1:01.71
No.1,,,,,,,1,石井裕美,,,,・ときわ台,40.07
No.1,,,,,,,2,早津恵子,,,,・越谷,40.72
No.1,,,,,,,3,福原美奈 ・,,,,毛海岸,45.22
No.1,,,,,,,4,草森理子,,,,・成城,47.26
No.1,,,,,,,5,山中恵子,,,,・桶川北本,45.50
No.1,,,,,,,6,佐々木れい,,,,・志木,51.77
