ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
1,78,1位,セントラルフィットネスクラブ二俣川,セントラルフィットネスクラブフタマタガワ,832.0,0,0,0
2,78,2位,セントラルウェルネスクラブ成城,セントラルウェルネスクラブセイジョウ,644.0,0,0,0
3,78,3位,セントラルウェルネスクラブ慶應日吉,セントラルウェルネスクラブケイオウヒヨシ,574.0,0,0,0
4,78,4位,セントラルウェルネスクラブ葛西,セントラルウェルネスクラブカサイ,571.0,0,0,0
5,78,5位,セントラルウェルネスクラブ長津田みなみ台,セントラルウェルネスクラブナガツタミナミダイ,483.0,0,0,0
6,78,6位,セントラルフィットネスクラブ市ヶ尾,セントラルフィットネスクラブイチガオ,465.0,0,0,0
7,78,7位,トーアセントラルフィットネスクラブ阿佐谷,トーアセントラルフィットネスクラブアサガヤ,419.0,0,0,0
8,78,8位,セントラルフィットネスクラブ天王洲,セントラルフィットネスクラブテンノウズ,418.0,0,0,0
9,78,9位,セントラルウェルネスクラブおおたかの森,セントラルウェルネスクラブオオタカノモリ,406.0,0,0,0
10,78,10位,セントラルウェルネスクラブ大森,セントラルウェルネスクラブオオモリ,326.0,0,0,0
11,78,11位,セントラルウェルネスクラブ越谷,セントラルウェルネスクラブコシガヤ,306.0,0,0,0
12,78,12位,セントラルウェルネスクラブ大宮宮原,セントラルウェルネスクラブオオミヤミヤハラ,297.0,0,0,0
13,78,13位,セントラルウェルネスクラブ清瀬,セントラルウェルネスクラブキヨセ,287.0,0,0,0
14,78,14位,セントラルウェルネスクラブ南千住,セ・ウェルネルクラブミナミセンジュ,240.0,0,0,0
15,78,15位,ニッセイセントラルフィットネスクラブ松戸,ニッセイセントラルフィットネスクラブマツド,223.0,0,0,0
16,78,16位,セントラルフィットネスクラブ市川,セントラルフィットネスクラブイチカワ,202.0,0,0,0
17,78,17位,ザバススポーツクラブ川崎,ザバススポーツクラブカワサキ,184.0,0,0,0
18,78,18位,セントラルウェルネスクラブ上池袋,セントラルウェルネスクラブカミイケブクロ,174.0,0,0,0
19,78,19位,セントラルウェルネスクラブ我孫子,セントラルウェルネスクラブアビコ,172.0,0,0,0
20,78,20位,セントラルフィットネスクラブ用賀,セントラルフィットネスクラブヨウガ,169.0,0,0,0
21,78,21位,セントラルフィットネスクラブ南青山,セントラルフィットネスクラブミナミアオヤマ,153.0,0,0,0
22,78,22位,セントラルウェルネスクラブ成瀬,セントラルウェルネスクラブナルセ,148.0,0,0,0
23,78,23位,セントラルウェルネスクラブ志木,セントラルウェルネスクラブシキ,142.0,0,0,0
24,78,24位,セントラルフィットネスクラブ24袖ヶ浦駅前,セントラルフィットネスクラブソデガウラエキマエ,127.0,0,0,0
25,78,25位,セントラルフィットネスクラブ八王子,セントラルフィットネスクラブハチオウジ,122.0,0,0,0
26,78,26位,セントラルウェルネスクラブ柏,セントラルウェルネスクラブカシワ,121.0,0,0,0
27,78,27位,ザバススポーツクラブ金沢八景,ザバススポーツクラブカナザワハッケイ,120.0,0,0,0
