ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
1,79,1位,セントラルフィットネスクラブ二俣川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾌﾀﾏﾀｶﾞﾜ,1159.0,0,0,0
2,79,2位,セントラルウェルネスクラブ成城,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｾｲｼﾞｮｳ,688.0,0,0,0
3,79,3位,セントラルウェルネスクラブ葛西,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｶｻｲ,687.0,0,0,0
4,79,4位,セントラルウェルネスクラブ慶應日吉,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｹｲｵｳﾋﾖｼ,685.0,0,0,0
5,79,5位,トーアセントラルフィットネスクラブ阿佐谷,ﾄｰｱｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｱｻｶﾞﾔ,623.0,0,0,0
6,79,6位,セントラルフィットネスクラブ市ヶ尾,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｲﾁｶﾞｵ,573.0,0,0,0
7,79,7位,セントラルウェルネスクラブ長津田みなみ台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾅｶﾞﾂﾀﾐﾅﾐﾀﾞｲ,496.0,0,0,0
8,79,8位,セントラルウェルネスクラブおおたかの森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｵｵﾀｶﾉﾓﾘ,481.0,0,0,0
9,79,9位,セントラルウェルネスクラブ大森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｵｵﾓﾘ,440.0,0,0,0
10,79,10位,セントラルフィットネスクラブ天王洲,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾃﾝﾉｳｽﾞ,420.0,0,0,0
11,79,11位,セントラルウェルネスクラブ清瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｷﾖｾ,415.0,0,0,0
12,79,12位,セントラルウェルネスクラブ越谷,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｺｼｶﾞﾔ,393.0,0,0,0
13,79,13位,セントラルフィットネスクラブ武蔵小杉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾑｻｼｺｽｷﾞ,376.0,0,0,0
14,79,14位,セントラルフィットネスクラブ用賀,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾖｳｶﾞ,372.0,0,0,0
15,79,15位,セントラルウェルネスクラブ南千住,ｾ・ｳｪﾙﾈｽｸﾗﾌﾞ ﾐﾅﾐｾﾝｼﾞｭ,350.0,0,0,0
16,79,16位,セントラルフィットネスクラブ流山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾅｶﾞﾚﾔﾏ,259.0,0,0,0
17,79,17位,セントラルウェルネスクラブ新浦安,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｼﾝｳﾗﾔｽ,246.0,0,0,0
18,79,18位,セントラルウェルネスクラブ大宮宮原,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｵｵﾐﾔﾐﾔﾊﾗ,245.0,0,0,0
19,79,19位,セントラルウェルネスクラブ我孫子,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｱﾋﾞｺ,232.0,0,0,0
20,79,20位,ニッセイセントラルフィットネスクラブ松戸,ﾆｯｾｲｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾏﾂﾄﾞ,228.0,0,0,0
