round,pool_type,race_no,gender,event_name,age_group_label,world_record,japan_record,meet_record,rank,team_name,combined_age,lane,time_display,time_seconds,is_meet_record,is_japan_record,is_world_record,lap_times
79,短水路,3,女子,4×25mメドレーリレー,320〜359歳,,1:26.19,,1,セ・松戸,322,1/4,1:47.12,107.12,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,280〜319歳,,1:14.31,1:19.71,1,セ・葛西,290,3/9,1:20.85,80.85,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,280〜319歳,,1:14.31,1:19.71,2,セ・慶應日吉,284,2/6,1:26.61,86.61,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,280〜319歳,,1:14.31,1:19.71,3,セ・成城,283,2/9,1:32.18,92.18,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,280〜319歳,,1:14.31,1:19.71,4,セ・おおたか,288,1/3,1:32.63,92.63,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,280〜319歳,,1:14.31,1:19.71,5,セ・新浦安,280,2/5,1:32.87,92.87,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,280〜319歳,,1:14.31,1:19.71,6,セ・二俣川,282,2/1,1:35.39,95.39,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,280〜319歳,,,,7,セ・南千住,296,1/6,1:39.27,99.27000000000001,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,280〜319歳,,,,8,セ・慶應日吉,281,1/8,1:54.32,114.32,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,280〜319歳,,,,9,セ・桶川北本,280,1/9,1:57.44,117.44,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,240〜279歳,,1:02.59,1:08.57,1,セ・二俣川,251,3/4,1:14.46,74.46000000000001,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,240〜279歳,,1:02.59,1:08.57,2,セ・越谷,240,3/2,1:14.89,74.89,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,240〜279歳,,1:02.59,1:08.57,3,セ・清瀬,240,3/1,1:17.12,77.12,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,240〜279歳,,1:02.59,1:08.57,4,セ・慶應日吉,249,3/7,1:17.61,77.61,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,240〜279歳,,,,5,セ・西東京,252,4/9,1:19.24,79.24,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,240〜279歳,,,,6,セ・天王洲,259,2/4,1:21.00,81.0,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,240〜279歳,,,,7,セ・松戸,258,2/7,1:26.92,86.92,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,240〜279歳,,,,8,セ・我孫子,269,1/2,1:38.10,98.1,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,240〜279歳,,,,9,セ・上池袋,271,2/8,1:41.74,101.74000000000001,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,200〜239歳,,59.04,1:04.93,1,セ・阿佐谷,224,4/4,1:10.72,70.72,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,200〜239歳,,59.04,1:04.93,2,セ・市ヶ尾,214,3/6,1:11.53,71.53,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,200〜239歳,,,,3,セ・南千住,204,4/8,1:11.99,71.99,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,200〜239歳,,,,4,セ・おおたか,201,2/3,1:12.45,72.45,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,200〜239歳,,,,5,セ・松戸,219,3/8,1:14.31,74.31,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,200〜239歳,,,,6,セ・二俣川,231,4/7,1:18.83,78.83,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,200〜239歳,,,,7,セ・志木,218,1/5,1:27.30,87.3,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,200〜239歳,,,,8,CS南行徳,222,3/10,1:29.11,89.11,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,200〜239歳,,,,9,セ・西新井,200,1/7,1:37.24,97.24000000000001,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,160〜199歳,,,,1,セ・袖ヶ浦,160,4/6,1:03.85,63.85,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,160〜199歳,,,,2,セ・二俣川,185,4/1,1:13.69,73.69,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,160〜199歳,,,,3,セ・上池袋,193,2/2,1:19.74,79.74,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,120〜159歳,,53.32,1:00.87,1,セ・葛西,159,4/10,1:06.57,66.57,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,120〜159歳,,53.32,1:00.87,2,セ・慶應日吉,159,4/3,1:10.88,70.88,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,120〜159歳,,53.32,1:00.87,3,セ・柏,146,4/2,1:15.79,75.78999999999999,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,120〜159歳,,53.32,1:00.87,4,セ・天王洲,159,3/5,1:16.75,76.75,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,72〜119歳,,52.01,59.08,1,セ・成城,99,4/5,1:04.23,64.23,False,False,False,
79,短水路,3,女子,4×25mメドレーリレー,72〜119歳,,52.01,59.08,2,セ・二俣川,92,3/3,1:14.31,74.31,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,280〜319歳,,1:01.24,1:09.92,1,セ・阿佐谷,290,1/8,1:17.81,77.81,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,280〜319歳,,1:01.24,1:09.92,2,セ・越谷,288,1/3,1:18.40,78.4,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,280〜319歳,,1:01.24,1:09.92,3,セ・おおたか,294,1/1,1:46.89,106.89,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,240〜279歳,,53.14,53.14,1,セ・おおたか,242,2/5,1:02.78,62.78,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,240〜279歳,,53.14,53.14,2,セ・長津田,242,3/10,1:03.49,63.49,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,240〜279歳,,53.14,53.14,3,セ・二俣川,243,1/4,1:05.30,65.3,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,240〜279歳,,53.14,53.14,4,セ・成城,247,2/2,1:05.97,65.97,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,240〜279歳,,,,5,セ・市ヶ尾,246,1/5,1:09.54,69.53999999999999,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,240〜279歳,,,,6,セ・葛西,257,1/7,1:14.93,74.93,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,240〜279歳,,,,7,セ・西東京,276,2/10,1:15.54,75.53999999999999,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,200〜239歳,,49.58,50.96,1,セ・トレッサ,206,3/1,58.29,58.29,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,200〜239歳,,49.58,50.96,2,セ・用賀,206,3/9,1:02.22,62.22,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,200〜239歳,,49.58,50.96,3,セ・大宮宮原,226,1/6,1:03.05,63.05,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,200〜239歳,,49.58,50.96,4,セ・我孫子,220,2/3,1:03.32,63.32,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,200〜239歳,,,,5,セ・柏,212,3/6,1:04.26,64.26,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,200〜239歳,,,,6,セ・新浦安,201,2/7,1:04.84,64.84,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,200〜239歳,,,,7,セ・阿佐谷,202,2/8,1:04.85,64.85,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,200〜239歳,,,,8,セ・慶應日吉,211,2/9,1:07.40,67.4,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,200〜239歳,,,,9,セ・長津田,230,2/1,1:08.96,68.96000000000001,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,200〜239歳,,,,10,セ・天王洲,214,2/4,1:16.65,76.65,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,200〜239歳,,,,11,セ・武蔵小杉,238,1/2,1:19.52,79.52,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,160〜199歳,,,,1,セ・二俣川,160,4/5,49.11,49.11,True,False,False,
79,短水路,4,男子,4×25mメドレーリレー,160〜199歳,,,,2,セ・市ヶ尾,185,3/3,51.88,51.88,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,160〜199歳,,,,3,セ・阿佐谷,164,4/6,53.17,53.17,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,160〜199歳,,,,4,セ・慶應日吉,189,4/9,55.62,55.62,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,160〜199歳,,,,5,ザバス八景,180,3/8,1:00.21,60.21,False,False,False,
79,短水路,4,男子,4×25mメドレーリレー,160〜199歳,,,,6,セ・大森,189,3/7,1:01.86,61.86,False,False,False,
