イベントNo,性別,種目,年齢区分,順位,氏名,チーム名,合計年齢,所属,水路,記録,備考,種別
1,女子,100m個人メドレー,80～84歳,1,久保美紀枝,,,セ・流山,1/ 3,2:28.70,,個人
1,女子,100m個人メドレー,80～84歳,2,御手洗ヨシ,,,CS南行徳,1/ 2,2:42.66,,個人
1,女子,100m個人メドレー,75～79歳,1,岡田まり子,,,CS南行徳,2/ 5,2:09.83,,個人
1,女子,100m個人メドレー,75～79歳,2,竹原,,,君枝   セ・慶應日吉,3/ 2,2:10.68,,個人
1,女子,100m個人メドレー,75～79歳,3,沢田,,,裕子   セ・ときわ台,1/ 5,2:13.42,,個人
1,女子,100m個人メドレー,75～79歳,4,佐々木和江,,,セ・南千住,2/ 8,2:17.75,,個人
1,女子,100m個人メドレー,75～79歳,5,原田,,,早苗   セ・南千住,1/ 6,2:21.34,,個人
1,女子,100m個人メドレー,70～74歳,1,菅野,,,泰子   セ・葛西,7/ 9,1:32.92,･大会新,個人
1,女子,100m個人メドレー,70～74歳,2,岩崎,,,良子   セ・おおたか,6/ 9,1:45.11,,個人
1,女子,100m個人メドレー,70～74歳,3,原田,,,岳美   セ・藤沢,5/ 3,1:46.63,,個人
1,女子,100m個人メドレー,70～74歳,4,山本由起子,,,セ・南千住,5/ 8,1:53.39,,個人
1,女子,100m個人メドレー,70～74歳,5,水谷,,,裕子   セ・西新井,3/ 7,1:58.57,,個人
1,女子,100m個人メドレー,70～74歳,6,高木,,,保子   セ・おおたか,1/ 8,2:07.86,,個人
1,女子,100m個人メドレー,70～74歳,7,松木真知子,,,セ・ときわ台,2/ 3,2:11.21,,個人
1,女子,100m個人メドレー,65～69歳,1,森谷登志江,,,セ・慶應日吉,6/ 4,1:41.38,,個人
1,女子,100m個人メドレー,65～69歳,2,井手,,,敦子   セ・慶應日吉,6/ 8,1:43.74,,個人
1,女子,100m個人メドレー,65～69歳,3,石河久美子,,,セ・溝ノ口,4/ 9,1:55.34,,個人
1,女子,100m個人メドレー,65～69歳,4,森本,,,美恵   セ・松戸,3/ 9,1:55.44,,個人
1,女子,100m個人メドレー,65～69歳,5,久松,,,葉子   セ・成瀬,4/ 6,1:57.99,,個人
1,女子,100m個人メドレー,65～69歳,6,原田由美子,,,セ・慶應日吉,2/ 6,2:08.53,,個人
1,女子,100m個人メドレー,65～69歳,7,近藤みゆき,,,セ・阿佐谷,3/10,2:10.31,,個人
1,女子,100m個人メドレー,60～64歳,1,田中,,,貴子   セ・清瀬,9/ 9,1:25.52,,個人
1,女子,100m個人メドレー,60～64歳,2,榎本,,,恵子   セ・西新井,6/ 1,1:39.33,,個人
1,女子,100m個人メドレー,60～64歳,3,上野,,,真弓   セ・二俣川,7/ 2,1:40.23,,個人
1,女子,100m個人メドレー,60～64歳,4,高松早智子,,,セ・南宇都宮,5/ 6,1:42.33,,個人
1,女子,100m個人メドレー,60～64歳,5,山本,,,庸子   セ・八王子,6/10,1:45.86,,個人
1,女子,100m個人メドレー,60～64歳,6,盛田真規子,,,セ・二俣川,5/ 7,1:47.48,,個人
1,女子,100m個人メドレー,60～64歳,7,山中,,,恵子   セ・桶川北本,5/ 5,1:50.09,,個人
1,女子,100m個人メドレー,60～64歳,8,加藤,,,雅弓   セ・新都心,5/ 2,1:53.17,,個人
