競技番号,競技性別,競技名,世界記録,日本記録,大会記録,年齢区分,順位,リレー泳順,氏名,所属,水路,リレー時間,個人時間,リレー合計年齢,飛込タイム,LAPタイム
No.1,女子,100m個人メドレー,1:38.45,1:36.03,2:05.42,80～84歳,1,,久保美紀枝,セ・流山,1/3,,2:28.70,,1.07,33.91|1:10.46|1:54.22
No.1,女子,100m個人メドレー,1:38.45,1:36.03,2:05.42,80～84歳,2,,御手洗ヨシ,CS南行徳,1/2,,2:42.66,,1.29,37.45|1:17.46|2:05.71
No.1,女子,100m個人メドレー,1:26.91,1:31.38,1:50.59,75～79歳,1,,岡田まり子,CS南行徳,2/5,,2:09.83,,0.95,29.44|1:03.46|1:38.47
No.1,女子,100m個人メドレー,1:26.91,1:31.38,1:50.59,75～79歳,2,,竹原君枝,セ・慶應日吉,3/2,,2:10.68,,1.06,30.11|1:03.21|1:41.29
No.1,女子,100m個人メドレー,1:26.91,1:31.38,1:50.59,75～79歳,3,,沢田裕子,セ・ときわ台,1/5,,2:13.42,,0.88,31.41|1:07.32|1:45.08
No.1,女子,100m個人メドレー,1:26.91,1:31.38,1:50.59,75～79歳,4,,佐々木和江,セ・南千住,2/8,,2:17.75,,0.99,32.12|1:09.99|1:46.63
No.1,女子,100m個人メドレー,1:26.91,1:31.38,1:50.59,75～79歳,5,,原田早苗,セ・南千住,1/6,,2:21.34,,1.04,34.45|1:09.63|1:49.97
No.1,女子,100m個人メドレー,1:18.40,1:24.88,1:35.50,70～74歳,1,,菅野泰子,セ・葛西,7/9,,1:32.92,,0.84,19.70|45.15|1:11.93
No.1,女子,100m個人メドレー,1:18.40,1:24.88,1:35.50,70～74歳,2,,岩崎良子,セ・おおたか,6/9,,1:45.11,,0.97,21.61|48.78|1:20.77
No.1,女子,100m個人メドレー,1:18.40,1:24.88,1:35.50,70～74歳,3,,原田岳美,セ・藤沢,5/3,,1:46.63,,0.78,22.84|50.12|1:23.45
No.1,女子,100m個人メドレー,1:18.40,1:24.88,1:35.50,70～74歳,4,,山本由起子,セ・南千住,5/8,,1:53.39,,0.88,23.54|50.31|1:23.94
No.1,女子,100m個人メドレー,1:18.40,1:24.88,1:35.50,70～74歳,5,,水谷裕子,セ・西新井,3/7,,1:58.57,,0.93,25.37|56.35|1:31.26
No.1,女子,100m個人メドレー,1:18.40,1:24.88,1:35.50,70～74歳,6,,高木保子,セ・おおたか,1/8,,2:07.86,,0.91,34.12|1:04.57|1:38.64
No.1,女子,100m個人メドレー,1:18.40,1:24.88,1:35.50,70～74歳,7,,松木真知子,セ・ときわ台,2/3,,2:11.21,,0.98,30.06|1:05.04|1:39.25
No.1,女子,100m個人メドレー,1:15.65,1:21.78,1:30.20,65～69歳,1,,森谷登志江,セ・慶應日吉,6/4,,1:41.38,,0.90,21.39|46.37|1:17.12
No.1,女子,100m個人メドレー,1:15.65,1:21.78,1:30.20,65～69歳,2,,井手敦子,セ・慶應日吉,6/8,,1:43.74,,0.88,22.78|50.01|1:20.24
