round,pool_type,rank,team_name,furigana,total_points,male_points,female_points,mixed_points
79,短水路,1,セントラルフィットネスクラブ二俣川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾌﾀﾏﾀｶﾞﾜ,1159.0,0,0,0
79,短水路,2,セントラルウェルネスクラブ成城,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｾｲｼﾞｮｳ,688.0,0,0,0
79,短水路,3,セントラルウェルネスクラブ葛西,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｶｻｲ,687.0,0,0,0
79,短水路,4,セントラルウェルネスクラブ慶應日吉,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｹｲｵｳﾋﾖｼ,685.0,0,0,0
79,短水路,5,トーアセントラルフィットネスクラブ阿佐谷,ﾄｰｱｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｱｻｶﾞﾔ,623.0,0,0,0
79,短水路,6,セントラルフィットネスクラブ市ヶ尾,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｲﾁｶﾞｵ,573.0,0,0,0
79,短水路,7,セントラルウェルネスクラブ長津田みなみ台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾅｶﾞﾂﾀﾐﾅﾐﾀﾞｲ,496.0,0,0,0
79,短水路,8,セントラルウェルネスクラブおおたかの森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｵｵﾀｶﾉﾓﾘ,481.0,0,0,0
79,短水路,9,セントラルウェルネスクラブ大森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｵｵﾓﾘ,440.0,0,0,0
79,短水路,10,セントラルフィットネスクラブ天王洲,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾃﾝﾉｳｽﾞ,420.0,0,0,0
79,短水路,11,セントラルウェルネスクラブ清瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｷﾖｾ,415.0,0,0,0
79,短水路,12,セントラルウェルネスクラブ越谷,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｺｼｶﾞﾔ,393.0,0,0,0
79,短水路,13,セントラルフィットネスクラブ武蔵小杉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾑｻｼｺｽｷﾞ,376.0,0,0,0
79,短水路,14,セントラルフィットネスクラブ用賀,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾖｳｶﾞ,372.0,0,0,0
79,短水路,15,セントラルウェルネスクラブ南千住,ｾ・ｳｪﾙﾈｽｸﾗﾌﾞ ﾐﾅﾐｾﾝｼﾞｭ,350.0,0,0,0
79,短水路,16,セントラルフィットネスクラブ流山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾅｶﾞﾚﾔﾏ,259.0,0,0,0
79,短水路,17,セントラルウェルネスクラブ新浦安,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｼﾝｳﾗﾔｽ,246.0,0,0,0
79,短水路,18,セントラルウェルネスクラブ大宮宮原,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｵｵﾐﾔﾐﾔﾊﾗ,245.0,0,0,0
79,短水路,19,セントラルウェルネスクラブ我孫子,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｱﾋﾞｺ,232.0,0,0,0
79,短水路,20,ニッセイセントラルフィットネスクラブ松戸,ﾆｯｾｲｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾏﾂﾄﾞ,228.0,0,0,0
79,短水路,21,セントラルウェルネスクラブ上池袋,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｶﾐｲｹﾌﾞｸﾛ,218.0,0,0,0
79,短水路,22,セントラルウェルネスクラブ柏,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｶｼﾜ,200.0,0,0,0
79,短水路,23,セントラルウェルネスクラブ成瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾅﾙｾ,190.0,0,0,0
79,短水路,24,セントラルフィットネスクラブ南青山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾐﾅﾐｱｵﾔﾏ,189.0,0,0,0
79,短水路,25,セントラルウェルネスクラブ桶川北本,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｵｹｶﾞﾜｷﾀﾓﾄ,187.0,0,0,0
79,短水路,26,セントラルフィットネスクラブ24袖ヶ浦駅前,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｿﾃﾞｶﾞｳﾗｴｷﾏｴ,172.0,0,0,0
79,短水路,27,セントラルフィットネスクラブ西東京,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾆｼﾄｳｷｮｳ,171.0,0,0,0
79,短水路,28,セントラルフィットネスクラブ八王子,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾊﾁｵｳｼﾞ,165.0,0,0,0
79,短水路,29,セントラルフィットネスクラブ平塚,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾋﾗﾂｶ,162.0,0,0,0
79,短水路,30,セントラルウェルネスクラブトレッサ(大倉山),ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾄﾚｯｻｵｵｸﾗﾔﾏ,157.0,0,0,0
79,短水路,31,ザバススポーツクラブ川崎,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞ ｶﾜｻｷ,155.0,0,0,0
79,短水路,32,セントラルフィットネスクラブ自由が丘,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｼﾞﾕｳｶﾞｵｶ,136.0,0,0,0
79,短水路,33,セントラルスポーツクラブ南宇都宮,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞ ﾐﾅﾐｳﾂﾉﾐﾔ,124.0,0,0,0
79,短水路,33,セントラルスイムクラブ湘南台,ｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞ ｼｮｳﾅﾝﾀﾞｲ,124.0,0,0,0
79,短水路,35,セントラルウェルネスクラブ西新井,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾆｼｱﾗｲ,122.0,0,0,0
79,短水路,36,ザバススポーツクラブ金沢八景,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞ ｶﾅｻﾞﾜﾊｯｹｲ,118.0,0,0,0
79,短水路,37,セントラルウェルネスクラブ24久喜,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾆｼﾞｭｳﾖﾝｸｷ,114.0,0,0,0
79,短水路,38,セントラルスポーツフッサ,ｾﾝﾄﾗﾙｽﾎﾟｰﾂﾌｯｻ,104.0,0,0,0
79,短水路,39,ラヴィセントラルフィットネスクラブ蒲田,ﾗｳﾞｨｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｶﾏﾀ,101.0,0,0,0
79,短水路,40,セントラルウェルネスクラブ志木,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｼｷ,100.0,0,0,0
79,短水路,41,セントラルスポーツ南行徳,ｾﾝﾄﾗﾙｽﾎﾟｰﾂﾐﾅﾐｷﾞｮｳﾄｸ,99.0,0,0,0
79,短水路,42,セントラルスイムクラブ横浜,ｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞ ﾖｺﾊﾏ,97.0,0,0,0
79,短水路,43,セントラルフィットネスクラブ茂原,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾓﾊﾞﾗ,88.0,0,0,0
79,短水路,44,セントラルウェルネスクラブときわ台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾄｷﾜﾀﾞｲ,87.0,0,0,0
79,短水路,45,セントラルスポーツクラブ館山,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞ ﾀﾃﾔﾏ,86.0,0,0,0
79,短水路,46,セントラルフィットネスクラブ市川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｲﾁｶﾜ,85.0,0,0,0
79,短水路,47,セントラルフィットネスクラブ八千代台,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾔﾁﾖﾀﾞｲ,80.0,0,0,0
79,短水路,48,セントラルウェルネスクラブ能見台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾉｳｹﾝﾀﾞｲ,78.0,0,0,0
79,短水路,49,ゴールデンスパ・ニューオータニ,ｺﾞｰﾙﾃﾞﾝｽﾊﾟ ﾆｭｰｵｰﾀﾆ,70.0,0,0,0
79,短水路,50,セントラルフィットネスクラブ亀有,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｶﾒｱﾘ,68.0,0,0,0
79,短水路,50,セントラルフィットネスクラブ府中,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾌUCHU,68.0,0,0,0
79,短水路,52,セントラルフィットネスクラブ目黒,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾒｸﾞﾛ,60.0,0,0,0
79,短水路,53,セントラルフィットネスクラブ藤沢,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾌｼﾞｻﾜ,59.0,0,0,0
