ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
1,80,1位,二俣川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌﾀﾏﾀｶﾞﾜ,637,322,245,70
2,80,2位,阿佐谷,ﾄｰｱｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｻｶﾞﾔ,567,296,218,53
3,80,3位,市ヶ尾,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾞｵ,480,278,133,69
4,80,4位,葛西,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｻｲ,449,220,223,6
5,80,5位,おおたか,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾀｶﾉﾓﾘ,432,248,156,28
6,80,6位,成城,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｾｲｼﾞｮｳ,424,231,149,44
7,80,7位,慶應日吉,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｹｲｵｳﾋﾖｼ,408,151,235,22
8,80,8位,武蔵小杉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾑｻｼｺｽｷﾞ,370,191,155,24
9,80,9位,長津田,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅｶﾞﾂﾀﾐﾅﾐﾀﾞｲ,317,132,141,44
10,80,10位,大宮宮原,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾐﾔﾐﾔﾊﾗ,285,185,73,27
11,80,11位,天王洲,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾃﾝﾉｳｽﾞ,274,163,111,0
12,80,12位,用賀,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾖｳｶﾞ,264,137,111,16
13,80,13位,清瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｷﾖｾ,256,88,161,7
14,80,14位,松戸,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾏﾂﾄﾞ,237,120,97,20
15,80,15位,大森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾓﾘ,233,86,124,23
16,80,16位,志木,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｼｷ,225,101,114,10
17,80,17位,成瀬,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾅﾙｾ,213,83,124,10
18,80,18位,新川崎,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾝｶﾜｻｷ,211,114,94,3
19,80,19位,越谷,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｺｼｶﾞﾔ,202,88,101,13
20,80,20位,我孫子,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｱﾋﾞｺ,192,123,66,3
21,80,21位,本八幡,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾓﾄﾔﾜﾀ,179,88,88,3
22,80,22位,一社,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲｯｼｬ,168,111,57,0
23,80,23位,ときわ台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾄｷﾜﾀﾞｲ,158,53,71,34
24,80,24位,千葉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾁﾊﾞ,143,82,55,6
