round,pool_type,race_no,gender,event_name,age_group,world_record,japan_record,meet_record,rank,athlete_name,team_name,lane,time_display,time_seconds,is_meet_record,is_japan_record,is_world_record,points_w,points_n,dive_time,lap_times,is_dnf
80,長水路,1,女子,200m自由形,80～84歳,3:05.95,3:05.95,3:47.95,1,佐藤由利子,セ・用賀,2/9,3:53.04,233.04,False,False,False,508.0,508.0,0.85,"52.61,1:50.74,2:51.44",False
80,長水路,1,女子,200m自由形,80～84歳,3:05.95,3:05.95,3:47.95,2,竹原君枝,セ・慶應日吉,2/1,3:59.45,239.45,False,False,False,468.0,468.0,1.08,"55.04,1:56.30,2:58.93",False
80,長水路,1,女子,200m自由形,80～84歳,3:05.95,3:05.95,3:47.95,3,内田良子,セ・用賀,1/4,3:59.70,239.7,False,False,False,466.0,466.0,0.99,"55.40,1:56.19,2:58.59",False
80,長水路,1,女子,200m自由形,75～79歳,2:47.46,2:54.26,3:32.08,1,中平信子,セ・成瀬,2/5,3:22.38,202.38,True,False,False,566.0,638.0,0.9,"46.91,1:38.54,2:31.53",False
80,長水路,1,女子,200m自由形,75～79歳,2:47.46,2:54.26,3:32.08,2,藤井一恵,セ・大森,2/2,3:58.46,238.46,False,False,False,346.0,390.0,0.98,"52.82,1:52.43,2:56.79",False
80,長水路,1,女子,200m自由形,75～79歳,2:47.46,2:54.26,3:32.08,3,郡司米子,セ・八千代台,1/9,3:59.40,239.4,False,False,False,342.0,385.0,,"52.49,1:52.68,2:57.08",False
80,長水路,1,女子,200m自由形,75～79歳,2:47.46,2:54.26,3:32.08,4,馬場悦子,セ・清瀬,1/2,4:17.05,257.05,False,False,False,276.0,311.0,0.86,"56.67,2:01.39,3:11.68",False
80,長水路,1,女子,200m自由形,70～74歳,2:29.56,2:49.80,2:58.84,1,岡村悦子,セ・おおたか,2/4,3:42.85,222.85,False,False,False,302.0,442.0,1.02,"49.98,1:44.57,2:45.20",False
80,長水路,1,女子,200m自由形,70～74歳,2:29.56,2:49.80,2:58.84,2,森本美恵,セ・松戸,2/6,3:47.28,227.28,False,False,False,284.0,416.0,0.77,"52.47,1:50.06,2:50.80",False
80,長水路,1,女子,200m自由形,70～74歳,2:29.56,2:49.80,2:58.84,3,三嶋祐子,セ・阿佐谷,1/6,4:11.73,251.73,False,False,False,209.0,306.0,0.84,"56.94,2:01.24,3:05.33",False
80,長水路,1,女子,200m自由形,70～74歳,2:29.56,2:49.80,2:58.84,,菅野泰子,セ・葛西,4/5,,,False,False,False,,,,,True
