ID,チームID,県名,チーム名,女子,男子,合計
1,70041.0,福島,福島,0,1,1
2,90008.0,栃木,南宇都宮,2,1,3
3,90011.0,栃木,Ｆ宇都宮,1,1,2
4,110023.0,千葉,流山,10,6,16
5,110025.0,千葉,稲毛海岸,2,2,4
6,110028.0,千葉,曽谷,3,1,4
7,110030.0,千葉,谷津,7,3,10
8,110032.0,千葉,CS南行徳,1,0,1
9,110049.0,千葉,館山,5,1,6
10,110050.0,千葉,市川,1,4,5
11,110085.0,千葉,柏,4,4,8
12,110090.0,千葉,八千代台,1,2,3
13,110132.0,千葉,松戸,14,4,18
14,110140.0,千葉,我孫子,7,7,14
15,110153.0,千葉,おおたか,12,19,31
16,110388.0,千葉,茂原,4,6,10
17,110462.0,千葉,袖ケ浦,4,2,6
18,120009.0,埼玉,志木,3,3,6
19,120018.0,埼玉,川越,1,0,1
20,120021.0,埼玉,越谷,5,8,13
21,120055.0,埼玉,岩槻,0,1,1
22,120085.0,埼玉,新三郷,2,0,2
23,120105.0,埼玉,新都心,1,1,2
24,120144.0,埼玉,桶川北本,10,5,15
25,120147.0,埼玉,大宮宮原,6,12,18
26,120298.0,埼玉,越谷LT,1,0,1
27,120446.0,埼玉,久喜,3,2,5
28,130010.0,東京,清瀬,14,9,23
29,130081.0,東京,府中,2,2,4
30,130085.0,東京,成瀬,8,4,12
31,130101.0,東京,目黒,2,1,3
32,130115.0,東京,福生,4,1,5
33,130120.0,東京,下北沢,2,1,3
34,130127.0,東京,ときわ台,2,7,9
35,130131.0,東京,八王子,6,10,16
36,130174.0,東京,上池袋,6,7,13
37,130207.0,東京,用賀,10,11,21
38,130232.0,東京,阿佐谷,16,16,32
39,130244.0,東京,南青山,6,8,14
40,130269.0,東京,青砥,2,3,5
41,130287.0,東京,自由が丘,2,1,3
42,130371.0,東京,南千住,13,4,17
43,130473.0,東京,天王洲,10,12,22
44,130531.0,東京,G-SPA,2,4,6
45,130564.0,東京,成城,8,13,21
46,130566.0,東京,西新井,8,6,14
47,130581.0,東京,大森,11,8,19
48,130686.0,東京,葛西,10,13,23
49,130690.0,東京,墨田区体育館,1,2,3
50,140036.0,神奈川,ザバス鶴見,0,3,3
51,140046.0,神奈川,市ヶ尾,11,17,28
52,140063.0,神奈川,横浜,7,5,12
53,140068.0,神奈川,平塚,2,0,2
54,140073.0,神奈川,戸塚,2,0,2
55,140078.0,神奈川,東戸塚,2,2,4
56,140088.0,神奈川,二俣川,15,15,30
57,140091.0,神奈川,藤沢,1,1,2
58,140107.0,神奈川,湘南LT,0,1,1
59,140115.0,神奈川,武蔵小杉,6,16,22
60,140156.0,神奈川,F東戸塚,1,1,2
61,140171.0,神奈川,溝ノ口,1,0,1
62,140186.0,神奈川,ザバス八景,3,4,7
63,140206.0,神奈川,新川崎,2,4,6
64,140258.0,神奈川,能見台,2,2,4
65,140304.0,神奈川,トレッサ,1,3,4
66,140305.0,神奈川,長津田,8,8,16
67,140318.0,神奈川,慶應日吉,20,13,33
68,140340.0,神奈川,湘南台,0,0,0
69,140505.0,神奈川,セン南,0,1,1
70,,,合計,339,335,674
