ID,チームID,県名,チーム名
1,70041,福島,福島
2,90008,栃木,南宇都宮
3,90011,栃木,Ｆ宇都宮
4,110023,千葉,流山
5,110025,千葉,稲毛海岸
6,110028,千葉,曽谷
7,110030,千葉,谷津
8,110032,千葉,CS南行徳
9,110049,千葉,館山
10,110050,千葉,市川
11,110085,千葉,柏
12,110090,千葉,八千代台
13,110132,千葉,松戸
14,110140,千葉,我孫子
15,110153,千葉,おおたか
16,110388,千葉,茂原
17,110462,千葉,袖ケ浦
18,120009,埼玉,志木
19,120018,埼玉,川越
20,120021,埼玉,越谷
21,120055,埼玉,岩槻
22,120085,埼玉,新三郷
23,120105,埼玉,新都心
24,120144,埼玉,桶川北本
25,120147,埼玉,大宮宮原
26,120298,埼玉,越谷LT
27,120446,埼玉,久喜
28,130010,東京,清瀬
29,130081,東京,府中
30,130085,東京,成瀬
31,130101,東京,目黒
32,130115,東京,福生
33,130120,東京,下北沢
34,130127,東京,ときわ台
35,130131,東京,八王子
36,130174,東京,上池袋
37,130207,東京,用賀
38,130232,東京,阿佐谷
39,130244,東京,南青山
40,130269,東京,青砥
41,130287,東京,自由が丘
42,130371,東京,南千住
43,130473,東京,天王洲
44,130531,東京,G-SPA
45,130564,東京,成城
46,130566,東京,西新井
47,130581,東京,大森
48,130686,東京,葛西
49,130690,東京,墨田区体育館
50,140036,神奈川,ザバス鶴見
51,140046,神奈川,市ヶ尾
52,140063,神奈川,横浜
53,140068,神奈川,平塚
54,140073,神奈川,戸塚
55,140078,神奈川,東戸塚
56,140088,神奈川,二俣川
57,140091,神奈川,藤沢
58,140107,神奈川,湘南LT
59,140115,神奈川,武蔵小杉
60,140156,神奈川,F東戸塚
61,140171,神奈川,溝ノ口
62,140186,神奈川,ザバス八景
63,140206,神奈川,新川崎
64,140258,神奈川,能見台
65,140304,神奈川,トレッサ
66,140305,神奈川,長津田
67,140318,神奈川,慶應日吉
68,140340,神奈川,湘南台
69,140505,神奈川,セン南
