ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
1,80,1位,二俣川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌﾀﾏﾀｶﾞﾜ,637,322,245,70
2,80,2位,阿佐谷,ﾄｰｱｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｻｶﾞﾔ,567,296,218,53
3,80,3位,市ヶ尾,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾞｵ,480,278,133,69
4,80,4位,葛西,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｻｲ,449,220,223,6
5,80,5位,おおたか,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾀｶﾉﾓﾘ,432,248,156,28
6,80,6位,成城,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｾｲｼﾞｮｳ,424,231,149,44
7,80,7位,慶應日吉,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｹｲｵｳﾋﾖｼ,408,151,235,22
8,80,8位,武蔵小杉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾑｻｼｺｽｷﾞ,370,191,155,24
9,80,9位,長津田,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅｶﾞﾂﾀﾐﾅﾐﾀﾞｲ,317,132,141,44
10,80,10位,大宮宮原,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾐﾔﾐﾔﾊﾗ,285,185,73,27
11,80,11位,天王洲,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾃﾝﾉｳｽﾞ,274,163,111,0
12,80,12位,用賀,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾖｳｶﾞ,264,137,111,16
13,80,13位,清瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｷﾖｾ,256,88,161,7
14,80,14位,松戸,ﾆｯｾｲｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾏﾂﾄﾞ,237,41,196,0
15,80,15位,大森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾓﾘ,233,91,122,20
16,80,16位,八王子,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾊﾁｵｳｼﾞ,213,104,93,16
17,80,17位,成瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅﾙｾ,199,65,124,10
18,80,18位,南千住,ｾ･ｳｪﾙﾈﾙｸﾗﾌﾞﾐﾅﾐｾﾝｼﾞｭ,191,39,137,15
19,80,19位,上池袋,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶﾐｲｹﾌﾞｸﾛ,171,93,78,0
20,80,20位,越谷,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｺｼｶﾞﾔ,150,87,63,0
21,80,21位,西新井,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾆｼｱﾗｲ,149,64,79,6
22,80,22位,我孫子,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｱﾋﾞｺ,147,75,69,3
23,80,23位,流山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾅｶﾞﾚﾔﾏ,142,84,58,0
